participant,session,validated_samples,noC_samples,removed_samples,removed_pct
sub-OE002,ses-Hellerup,459,257,202,44.01
sub-OE004,ses-Norreport,1707,1707,0,0.0
sub-OE005,ses-Hellerup,1487,1250,237,15.94
sub-OE005,ses-Nordhavn,1851,1766,85,4.59
sub-OE007,ses-Hellerup,1639,1270,369,22.51
sub-OE009,ses-Nordhavn,1455,1265,190,13.06
sub-OE009,ses-Norrebro,1839,1815,24,1.31
sub-OE010,ses-Nordhavn,2763,2763,0,0.0
sub-OE011,ses-Nordhavn,2791,2617,174,6.23
sub-OE012,ses-Norreport,2982,2942,40,1.34
sub-OE015,ses-Norreport,2519,2519,0,0.0
sub-OE017,ses-Norreport,2205,2047,158,7.17
sub-OE018,ses-Hellerup,962,799,163,16.94
sub-OE019,ses-Hellerup,2902,2844,58,2.0
sub-OE020,ses-Nordhavn,1683,1431,252,14.97
sub-OE020,ses-Norrebro,2028,1685,343,16.91
sub-OE021,ses-Hellerup,2312,2300,12,0.52
sub-OE021,ses-Norrebro,930,724,206,22.15
sub-OE022,ses-Nordhavn,2658,2620,38,1.43
sub-OE022,ses-Norrebro,1605,1264,341,21.25
sub-OE022,ses-Norreport,1787,1430,357,19.98
sub-OE023,ses-Nordhavn,1816,1444,372,20.48
sub-OE023,ses-Norrebro,2496,2481,15,0.6
sub-OE023,ses-Norreport,1878,1652,226,12.03
sub-OE024,ses-Nordhavn,1675,1313,362,21.61
