Seconds,Stream,E4_Seconds,AccX,AccY,AccZ
1904-01-01 00:08:45.780000046,E4_Acc,2024-06-27 11:32:56.953510046,-18.0,-61.0,11.0
1904-01-01 00:08:45.811250046,E4_Acc,2024-06-27 11:32:56.984760046,-17.0,-61.0,11.0
1904-01-01 00:08:45.842500046,E4_Acc,2024-06-27 11:32:57.016010046,-18.0,-62.0,11.0
1904-01-01 00:08:45.873750046,E4_Acc,2024-06-27 11:32:57.047260046,-18.0,-61.0,12.0
1904-01-01 00:08:45.905000046,E4_Acc,2024-06-27 11:32:57.078510046,-18.0,-62.0,12.0
1904-01-01 00:08:45.936260060,E4_Acc,2024-06-27 11:32:57.109770060,-18.0,-62.0,11.0
1904-01-01 00:08:45.967510060,E4_Acc,2024-06-27 11:32:57.141020060,-19.0,-62.0,11.0
1904-01-01 00:08:45.998760060,E4_Acc,2024-06-27 11:32:57.172270060,-18.0,-62.0,11.0
1904-01-01 00:08:46.030010060,E4_Acc,2024-06-27 11:32:57.203520060,-17.0,-61.0,11.0
1904-01-01 00:08:46.061260060,E4_Acc,2024-06-27 11:32:57.234770060,-17.0,-60.0,10.0
1904-01-01 00:08:46.092510060,E4_Acc,2024-06-27 11:32:57.266020060,-17.0,-61.0,10.0
1904-01-01 00:08:46.123760060,E4_Acc,2024-06-27 11:32:57.297270060,-18.0,-61.0,10.0
1904-01-01 00:08:46.155020073,E4_Acc,2024-06-27 11:32:57.328530073,-18.0,-61.0,10.0
1904-01-01 00:08:46.186270073,E4_Acc,2024-06-27 11:32:57.359780073,-18.0,-61.0,9.0
1904-01-01 00:08:46.217520073,E4_Acc,2024-06-27 11:32:57.391030073,-18.0,-62.0,10.0
1904-01-01 00:08:46.248770073,E4_Acc,2024-06-27 11:32:57.422280073,-18.0,-62.0,10.0
1904-01-01 00:08:46.280020073,E4_Acc,2024-06-27 11:32:57.453530073,-18.0,-62.0,10.0
1904-01-01 00:08:46.311270073,E4_Acc,2024-06-27 11:32:57.484780073,-18.0,-61.0,10.0
1904-01-01 00:08:46.342520073,E4_Acc,2024-06-27 11:32:57.516030073,-17.0,-61.0,10.0
1904-01-01 00:08:46.373780087,E4_Acc,2024-06-27 11:32:57.547290087,-17.0,-62.0,10.0
1904-01-01 00:08:46.405030087,E4_Acc,2024-06-27 11:32:57.578540087,-17.0,-62.0,11.0
1904-01-01 00:08:46.436280087,E4_Acc,2024-06-27 11:32:57.609790087,-16.0,-62.0,11.0
1904-01-01 00:08:46.467530087,E4_Acc,2024-06-27 11:32:57.641040087,-15.0,-61.0,13.0
1904-01-01 00:08:46.498780087,E4_Acc,2024-06-27 11:32:57.672290087,-14.0,-62.0,14.0
1904-01-01 00:08:46.530030087,E4_Acc,2024-06-27 11:32:57.703540087,-15.0,-62.0,12.0
1904-01-01 00:08:46.561280087,E4_Acc,2024-06-27 11:32:57.734790087,-17.0,-63.0,10.0
1904-01-01 00:08:46.592540100,E4_Acc,2024-06-27 11:32:57.766050100,-21.0,-63.0,7.0
1904-01-01 00:08:46.623790100,E4_Acc,2024-06-27 11:32:57.797300100,-22.0,-62.0,6.0
1904-01-01 00:08:46.655040100,E4_Acc,2024-06-27 11:32:57.828550100,-21.0,-61.0,6.0
1904-01-01 00:08:46.686290100,E4_Acc,2024-06-27 11:32:57.859800100,-21.0,-60.0,6.0
1904-01-01 00:08:46.717540100,E4_Acc,2024-06-27 11:32:57.891050100,-20.0,-61.0,6.0
1904-01-01 00:08:46.748790100,E4_Acc,2024-06-27 11:32:57.922300100,-18.0,-62.0,7.0
1904-01-01 00:08:46.780040100,E4_Acc,2024-06-27 11:32:57.953550100,-19.0,-62.0,6.0
1904-01-01 00:08:46.811300114,E4_Acc,2024-06-27 11:32:57.984810114,-19.0,-61.0,6.0
1904-01-01 00:08:46.842550114,E4_Acc,2024-06-27 11:32:58.016060114,-20.0,-61.0,5.0
1904-01-01 00:08:46.873800114,E4_Acc,2024-06-27 11:32:58.047310114,-20.0,-61.0,5.0
1904-01-01 00:08:46.905050114,E4_Acc,2024-06-27 11:32:58.078560114,-20.0,-62.0,5.0
1904-01-01 00:08:46.936300114,E4_Acc,2024-06-27 11:32:58.109810114,-17.0,-60.0,8.0
1904-01-01 00:08:46.967550114,E4_Acc,2024-06-27 11:32:58.141060114,-16.0,-59.0,9.0
1904-01-01 00:08:46.998800114,E4_Acc,2024-06-27 11:32:58.172310114,-15.0,-63.0,10.0
1904-01-01 00:08:47.030059889,E4_Acc,2024-06-27 11:32:58.203569889,-16.0,-66.0,11.0
1904-01-01 00:08:47.061309889,E4_Acc,2024-06-27 11:32:58.234819889,-17.0,-63.0,11.0
1904-01-01 00:08:47.092559889,E4_Acc,2024-06-27 11:32:58.266069889,-18.0,-60.0,11.0
1904-01-01 00:08:47.123809889,E4_Acc,2024-06-27 11:32:58.297319889,-18.0,-61.0,11.0
1904-01-01 00:08:47.155059889,E4_Acc,2024-06-27 11:32:58.328569889,-18.0,-62.0,12.0
1904-01-01 00:08:47.186309889,E4_Acc,2024-06-27 11:32:58.359819889,-18.0,-62.0,12.0
1904-01-01 00:08:47.217559889,E4_Acc,2024-06-27 11:32:58.391069889,-18.0,-63.0,13.0
1904-01-01 00:08:47.248819903,E4_Acc,2024-06-27 11:32:58.422329903,-19.0,-62.0,11.0
1904-01-01 00:08:47.280069903,E4_Acc,2024-06-27 11:32:58.453579903,-20.0,-61.0,10.0
1904-01-01 00:08:47.311319903,E4_Acc,2024-06-27 11:32:58.484829903,-18.0,-61.0,10.0
1904-01-01 00:08:47.342569902,E4_Acc,2024-06-27 11:32:58.516079902,-19.0,-61.0,9.0
1904-01-01 00:08:47.373819903,E4_Acc,2024-06-27 11:32:58.547329903,-19.0,-61.0,8.0
1904-01-01 00:08:47.405069903,E4_Acc,2024-06-27 11:32:58.578579903,-18.0,-61.0,8.0
1904-01-01 00:08:47.436319903,E4_Acc,2024-06-27 11:32:58.609829903,-18.0,-61.0,8.0
1904-01-01 00:08:47.467579916,E4_Acc,2024-06-27 11:32:58.641089916,-18.0,-61.0,8.0
1904-01-01 00:08:47.498829916,E4_Acc,2024-06-27 11:32:58.672339916,-19.0,-62.0,7.0
1904-01-01 00:08:47.530079916,E4_Acc,2024-06-27 11:32:58.703589916,-18.0,-62.0,5.0
1904-01-01 00:08:47.561329916,E4_Acc,2024-06-27 11:32:58.734839916,-16.0,-62.0,11.0
1904-01-01 00:08:47.592579916,E4_Acc,2024-06-27 11:32:58.766089916,-18.0,-61.0,11.0
1904-01-01 00:08:47.623829916,E4_Acc,2024-06-27 11:32:58.797339916,-18.0,-62.0,12.0
1904-01-01 00:08:47.655079916,E4_Acc,2024-06-27 11:32:58.828589916,-19.0,-61.0,11.0
1904-01-01 00:08:47.686339930,E4_Acc,2024-06-27 11:32:58.859849930,-18.0,-62.0,12.0
1904-01-01 00:08:47.717589930,E4_Acc,2024-06-27 11:32:58.891099930,-17.0,-62.0,11.0
1904-01-01 00:08:47.748839930,E4_Acc,2024-06-27 11:32:58.922349930,-17.0,-62.0,10.0
1904-01-01 00:08:47.780089930,E4_Acc,2024-06-27 11:32:58.953599930,-20.0,-63.0,9.0
1904-01-01 00:08:47.811339930,E4_Acc,2024-06-27 11:32:58.984849930,-17.0,-62.0,10.0
1904-01-01 00:08:47.842589929,E4_Acc,2024-06-27 11:32:59.016099929,-16.0,-61.0,9.0
1904-01-01 00:08:47.873839930,E4_Acc,2024-06-27 11:32:59.047349930,-19.0,-62.0,9.0
1904-01-01 00:08:47.905099943,E4_Acc,2024-06-27 11:32:59.078609943,-20.0,-62.0,6.0
1904-01-01 00:08:47.936349943,E4_Acc,2024-06-27 11:32:59.109859943,-18.0,-62.0,15.0
1904-01-01 00:08:47.967599943,E4_Acc,2024-06-27 11:32:59.141109943,-18.0,-61.0,12.0
1904-01-01 00:08:47.998849943,E4_Acc,2024-06-27 11:32:59.172359943,-21.0,-61.0,10.0
1904-01-01 00:08:48.030099943,E4_Acc,2024-06-27 11:32:59.203609943,-18.0,-61.0,10.0
1904-01-01 00:08:48.061349943,E4_Acc,2024-06-27 11:32:59.234859943,-21.0,-61.0,8.0
1904-01-01 00:08:48.092599943,E4_Acc,2024-06-27 11:32:59.266109943,-19.0,-61.0,6.0
1904-01-01 00:08:48.123859957,E4_Acc,2024-06-27 11:32:59.297369957,-15.0,-62.0,8.0
1904-01-01 00:08:48.155109957,E4_Acc,2024-06-27 11:32:59.328619957,-19.0,-62.0,8.0
1904-01-01 00:08:48.186359957,E4_Acc,2024-06-27 11:32:59.359869957,-19.0,-63.0,16.0
1904-01-01 00:08:48.217609957,E4_Acc,2024-06-27 11:32:59.391119957,-16.0,-61.0,17.0
1904-01-01 00:08:48.248859957,E4_Acc,2024-06-27 11:32:59.422369957,-19.0,-62.0,13.0
1904-01-01 00:08:48.280109957,E4_Acc,2024-06-27 11:32:59.453619957,-22.0,-61.0,9.0
1904-01-01 00:08:48.311369971,E4_Acc,2024-06-27 11:32:59.484879971,-19.0,-60.0,8.0
1904-01-01 00:08:48.342619971,E4_Acc,2024-06-27 11:32:59.516129971,-16.0,-61.0,9.0
1904-01-01 00:08:48.373869971,E4_Acc,2024-06-27 11:32:59.547379971,-16.0,-62.0,9.0
1904-01-01 00:08:48.405119971,E4_Acc,2024-06-27 11:32:59.578629971,-18.0,-62.0,12.0
1904-01-01 00:08:48.436369971,E4_Acc,2024-06-27 11:32:59.609879971,-18.0,-61.0,14.0
1904-01-01 00:08:48.467619971,E4_Acc,2024-06-27 11:32:59.641129971,-19.0,-61.0,13.0
1904-01-01 00:08:48.498869971,E4_Acc,2024-06-27 11:32:59.672379971,-21.0,-61.0,8.0
1904-01-01 00:08:48.530129984,E4_Acc,2024-06-27 11:32:59.703639984,-20.0,-60.0,9.0
1904-01-01 00:08:48.561379984,E4_Acc,2024-06-27 11:32:59.734889984,-17.0,-61.0,9.0
1904-01-01 00:08:48.592629984,E4_Acc,2024-06-27 11:32:59.766139984,-15.0,-61.0,6.0
1904-01-01 00:08:48.623879984,E4_Acc,2024-06-27 11:32:59.797389984,-15.0,-61.0,12.0
1904-01-01 00:08:48.655129984,E4_Acc,2024-06-27 11:32:59.828639984,-19.0,-61.0,14.0
1904-01-01 00:08:48.686379984,E4_Acc,2024-06-27 11:32:59.859889984,-19.0,-61.0,12.0
1904-01-01 00:08:48.717629984,E4_Acc,2024-06-27 11:32:59.891139984,-21.0,-61.0,12.0
1904-01-01 00:08:48.748889998,E4_Acc,2024-06-27 11:32:59.922399998,-17.0,-62.0,10.0
1904-01-01 00:08:48.780139998,E4_Acc,2024-06-27 11:32:59.953649998,-18.0,-62.0,9.0
1904-01-01 00:08:48.811389998,E4_Acc,2024-06-27 11:32:59.984899998,-18.0,-62.0,11.0
1904-01-01 00:08:48.842639997,E4_Acc,2024-06-27 11:33:00.016149997,-19.0,-62.0,12.0
1904-01-01 00:08:48.873889998,E4_Acc,2024-06-27 11:33:00.047399998,-19.0,-62.0,11.0
