Seconds,Stream,E4_Seconds,Value
1904-01-01 00:11:55.781859949,E4_Hr,2024-06-27 11:36:06.955369949,93.65418
1904-01-01 00:12:05.407310084,E4_Hr,2024-06-27 11:36:16.580820084,106.6617
1904-01-01 00:14:05.397239998,E4_Hr,2024-06-27 11:38:16.570749998,103.7789
1904-01-01 00:14:05.819130018,E4_Hr,2024-06-27 11:38:16.992640018,142.2156
1904-01-01 00:14:13.163220003,E4_Hr,2024-06-27 11:38:24.336730003,112.936
1904-01-01 00:14:13.694500044,E4_Hr,2024-06-27 11:38:24.868010044,112.936
1904-01-01 00:14:14.241400078,E4_Hr,2024-06-27 11:38:25.414910078,109.7092
1904-01-01 00:14:14.788300112,E4_Hr,2024-06-27 11:38:25.961810112,109.7092
1904-01-01 00:14:20.319809988,E4_Hr,2024-06-27 11:38:31.493319988,106.6617
1904-01-01 00:14:24.460620001,E4_Hr,2024-06-27 11:38:35.634130001,112.936
1904-01-01 00:14:25.007520035,E4_Hr,2024-06-27 11:38:36.181030035,109.7092
1904-01-01 00:15:47.964490011,E4_Hr,2024-06-27 11:39:59.138000011,119.9945
1904-01-01 00:15:48.495760039,E4_Hr,2024-06-27 11:39:59.669270039,112.9359
1904-01-01 00:15:49.058290079,E4_Hr,2024-06-27 11:40:00.231800079,106.6617
1904-01-01 00:15:49.480180100,E4_Hr,2024-06-27 11:40:00.653690100,142.2156
1904-01-01 00:15:50.058339909,E4_Hr,2024-06-27 11:40:01.231849909,103.779
1904-01-01 00:15:50.542729929,E4_Hr,2024-06-27 11:40:01.716239929,123.8652
1904-01-01 00:16:03.996480063,E4_Hr,2024-06-27 11:40:15.169990063,109.7092
1904-01-01 00:16:04.559010103,E4_Hr,2024-06-27 11:40:15.732520103,106.6617
1904-01-01 00:16:07.090380028,E4_Hr,2024-06-27 11:40:18.263890028,112.9359
1904-01-01 00:16:07.652900055,E4_Hr,2024-06-27 11:40:18.826410055,106.6617
1904-01-01 00:16:08.090420082,E4_Hr,2024-06-27 11:40:19.263930082,137.1365
1904-01-01 00:16:14.778230026,E4_Hr,2024-06-27 11:40:25.951740026,137.1365
1904-01-01 00:16:15.325130060,E4_Hr,2024-06-27 11:40:26.498640060,109.7092
