Seconds,Stream,E4_Seconds,Value
1904-01-01 00:15:01.865925975,E4_Hr,2024-06-24 13:42:09.633759975,72.44949
1904-01-01 00:15:02.600336023,E4_Hr,2024-06-24 13:42:10.368170023,81.69833
1904-01-01 00:15:03.412876077,E4_Hr,2024-06-24 13:42:11.180710077,73.84273
1904-01-01 00:15:04.116035886,E4_Hr,2024-06-24 13:42:11.883869886,85.32937
1904-01-01 00:15:04.928565927,E4_Hr,2024-06-24 13:42:12.696399927,73.84275
1904-01-01 00:15:05.678605981,E4_Hr,2024-06-24 13:42:13.446439981,79.99628
1904-01-01 00:15:06.459886022,E4_Hr,2024-06-24 13:42:14.227720022,76.79644
1904-01-01 00:15:07.194296070,E4_Hr,2024-06-24 13:42:14.962130070,81.69833
1904-01-01 00:15:08.053715892,E4_Hr,2024-06-24 13:42:15.821549892,69.81496
1904-01-01 00:15:08.866255947,E4_Hr,2024-06-24 13:42:16.634089947,73.84273
1904-01-01 00:15:18.882336088,E4_Hr,2024-06-24 13:42:26.650170088,83.47439
1904-01-01 00:15:24.523225971,E4_Hr,2024-06-24 13:42:32.291059971,72.44947
1904-01-01 00:15:25.335766025,E4_Hr,2024-06-24 13:42:33.103600025,73.84273
1904-01-01 00:15:26.179556079,E4_Hr,2024-06-24 13:42:33.947390079,71.10783
1904-01-01 00:15:32.148575969,E4_Hr,2024-06-24 13:42:39.916409969,72.44947
1904-01-01 00:15:33.007996030,E4_Hr,2024-06-24 13:42:40.775830030,69.81495
1904-01-01 00:15:33.867406078,E4_Hr,2024-06-24 13:42:41.635240078,69.81495
1904-01-01 00:15:39.695805975,E4_Hr,2024-06-24 13:42:47.463639975,67.3653
1904-01-01 00:15:40.461466022,E4_Hr,2024-06-24 13:42:48.229300022,78.36371
1904-01-01 00:15:41.320876070,E4_Hr,2024-06-24 13:42:49.088710070,69.81495
1904-01-01 00:15:42.164665886,E4_Hr,2024-06-24 13:42:49.932499886,71.10782
1904-01-01 00:15:43.008455940,E4_Hr,2024-06-24 13:42:50.776289940,71.10783
1904-01-01 00:15:43.836626001,E4_Hr,2024-06-24 13:42:51.604460001,72.44947
1904-01-01 00:15:44.711666055,E4_Hr,2024-06-24 13:42:52.479500055,68.56825
1904-01-01 00:15:45.508576103,E4_Hr,2024-06-24 13:42:53.276410103,75.29063
1904-01-01 00:15:46.336735912,E4_Hr,2024-06-24 13:42:54.104569912,72.44947
1904-01-01 00:15:47.196155973,E4_Hr,2024-06-24 13:42:54.963989973,69.81495
1904-01-01 00:15:52.024496027,E4_Hr,2024-06-24 13:42:59.792330027,72.44947
1904-01-01 00:15:52.805786081,E4_Hr,2024-06-24 13:43:00.573620081,76.79644
1904-01-01 00:15:53.665205904,E4_Hr,2024-06-24 13:43:01.433039904,69.81496
1904-01-01 00:15:54.352735944,E4_Hr,2024-06-24 13:43:02.120569944,87.26867
1904-01-01 00:15:55.259025999,E4_Hr,2024-06-24 13:43:03.026859999,66.20383
1904-01-01 00:15:56.055936046,E4_Hr,2024-06-24 13:43:03.823770046,75.29063
1904-01-01 00:15:56.852846094,E4_Hr,2024-06-24 13:43:04.620680094,75.29063
1904-01-01 00:15:57.649755903,E4_Hr,2024-06-24 13:43:05.417589903,75.29065
1904-01-01 00:15:58.493545957,E4_Hr,2024-06-24 13:43:06.261379957,71.10782
1904-01-01 00:15:59.290466018,E4_Hr,2024-06-24 13:43:07.058300018,75.29063
1904-01-01 00:16:00.118626066,E4_Hr,2024-06-24 13:43:07.886460066,72.44947
1904-01-01 00:16:06.650175996,E4_Hr,2024-06-24 13:43:14.418009996,71.10782
1904-01-01 00:16:07.462716051,E4_Hr,2024-06-24 13:43:15.230550051,73.84273
1904-01-01 00:16:08.290876098,E4_Hr,2024-06-24 13:43:16.058710098,72.44947
1904-01-01 00:16:09.087785907,E4_Hr,2024-06-24 13:43:16.855619907,75.29065
1904-01-01 00:16:09.947205968,E4_Hr,2024-06-24 13:43:17.715039968,69.81495
1904-01-01 00:16:10.712866016,E4_Hr,2024-06-24 13:43:18.480700016,78.36371
1904-01-01 00:16:11.572276064,E4_Hr,2024-06-24 13:43:19.340110064,69.81495
1904-01-01 00:16:12.369195886,E4_Hr,2024-06-24 13:43:20.137029886,75.29063
1904-01-01 00:16:13.228605934,E4_Hr,2024-06-24 13:43:20.996439934,69.81495
1904-01-01 00:16:13.994265981,E4_Hr,2024-06-24 13:43:21.762099981,78.36374
1904-01-01 00:16:14.853686042,E4_Hr,2024-06-24 13:43:22.621520042,69.81495
1904-01-01 00:16:23.869725891,E4_Hr,2024-06-24 13:43:31.637559891,73.84273
1904-01-01 00:16:24.604135938,E4_Hr,2024-06-24 13:43:32.371969938,81.69836
1904-01-01 00:16:25.510425993,E4_Hr,2024-06-24 13:43:33.278259993,66.20383
