,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
2,1904-01-01 00:15:32.068992000,929.8025455,35001,21344,42.688
9,1904-01-01 00:16:35.750976000,993.4841773,35002,53183,106.366
11,1904-01-01 00:16:47.448992000,1005.1827303,35003,59032,118.064
16,1904-01-01 00:17:42.593984000,1060.3272816,35004,86604,173.208
18,1904-01-01 00:17:54.613984000,1072.3476199,35005,92613,185.226
21,1904-01-01 00:18:12.288000000,1090.0216533,35101,101450,202.9
29,1904-01-01 00:19:29.721984000,1167.4557139,35201,140165,280.33
63,1904-01-01 00:26:37.960000000,1595.7007327,35102,354280,708.56
69,1904-01-01 00:27:42.100000000,1659.8344416,35202,386345,772.69
72,1904-01-01 00:28:07.174976000,1684.9099144,35301,398882,797.764
98,1904-01-01 00:33:26.772000000,2004.5075398,35103,558675,1117.35
105,1904-01-01 00:34:32.280000000,2070.0164276,35203,591428,1182.856
108,1904-01-01 00:35:04.624992000,2102.3614341,35302,607600,1215.2
123,1904-01-01 00:37:56.258975999,2273.9959995,35006,693413,1386.826
