Seconds,Stream,E4_Seconds,Value
1904-01-01 00:43:31.267152091,E4_Temperature,2024-06-28 14:01:58.241640091,30.11
1904-01-01 00:43:31.517162105,E4_Temperature,2024-06-28 14:01:58.491650105,30.11
1904-01-01 00:43:31.767181893,E4_Temperature,2024-06-28 14:01:58.741669893,30.11
1904-01-01 00:43:32.017191907,E4_Temperature,2024-06-28 14:01:58.991679907,30.11
1904-01-01 00:43:32.267201920,E4_Temperature,2024-06-28 14:01:59.241689920,30.13
1904-01-01 00:43:32.517211934,E4_Temperature,2024-06-28 14:01:59.491699934,30.13
1904-01-01 00:43:32.767221948,E4_Temperature,2024-06-28 14:01:59.741709948,30.13
1904-01-01 00:43:33.017231961,E4_Temperature,2024-06-28 14:01:59.991719961,30.13
1904-01-01 00:43:33.267251988,E4_Temperature,2024-06-28 14:02:00.241739988,30.11
1904-01-01 00:43:33.517262002,E4_Temperature,2024-06-28 14:02:00.491750002,30.11
1904-01-01 00:43:33.767272015,E4_Temperature,2024-06-28 14:02:00.741760015,30.11
1904-01-01 00:43:34.017282029,E4_Temperature,2024-06-28 14:02:00.991770029,30.11
1904-01-01 00:43:34.267292043,E4_Temperature,2024-06-28 14:02:01.241780043,30.13
1904-01-01 00:43:34.517302056,E4_Temperature,2024-06-28 14:02:01.491790056,30.13
1904-01-01 00:43:34.767312070,E4_Temperature,2024-06-28 14:02:01.741800070,30.13
1904-01-01 00:43:35.017332097,E4_Temperature,2024-06-28 14:02:01.991820097,30.13
1904-01-01 00:43:35.267342111,E4_Temperature,2024-06-28 14:02:02.241830111,30.11
1904-01-01 00:43:35.517351886,E4_Temperature,2024-06-28 14:02:02.491839886,30.11
1904-01-01 00:43:35.767361899,E4_Temperature,2024-06-28 14:02:02.741849899,30.11
1904-01-01 00:43:36.017371913,E4_Temperature,2024-06-28 14:02:02.991859913,30.11
1904-01-01 00:43:36.267381926,E4_Temperature,2024-06-28 14:02:03.241869926,30.13
1904-01-01 00:43:36.517401954,E4_Temperature,2024-06-28 14:02:03.491889954,30.13
1904-01-01 00:43:36.767411967,E4_Temperature,2024-06-28 14:02:03.741899967,30.13
1904-01-01 00:43:37.017421981,E4_Temperature,2024-06-28 14:02:03.991909981,30.13
1904-01-01 00:43:37.267431994,E4_Temperature,2024-06-28 14:02:04.241919994,30.13
1904-01-01 00:43:37.517442008,E4_Temperature,2024-06-28 14:02:04.491930008,30.13
1904-01-01 00:43:37.767452022,E4_Temperature,2024-06-28 14:02:04.741940022,30.13
1904-01-01 00:43:38.017472049,E4_Temperature,2024-06-28 14:02:04.991960049,30.13
1904-01-01 00:43:38.267482062,E4_Temperature,2024-06-28 14:02:05.241970062,30.11
1904-01-01 00:43:38.517492076,E4_Temperature,2024-06-28 14:02:05.491980076,30.11
1904-01-01 00:43:38.767502089,E4_Temperature,2024-06-28 14:02:05.741990089,30.11
1904-01-01 00:43:39.017512103,E4_Temperature,2024-06-28 14:02:05.992000103,30.11
1904-01-01 00:43:39.267522117,E4_Temperature,2024-06-28 14:02:06.242010117,30.13
1904-01-01 00:43:39.517531892,E4_Temperature,2024-06-28 14:02:06.492019892,30.13
1904-01-01 00:43:39.767551919,E4_Temperature,2024-06-28 14:02:06.742039919,30.13
1904-01-01 00:43:40.017561932,E4_Temperature,2024-06-28 14:02:06.992049932,30.13
1904-01-01 00:43:40.267571946,E4_Temperature,2024-06-28 14:02:07.242059946,30.15
1904-01-01 00:43:40.517581960,E4_Temperature,2024-06-28 14:02:07.492069960,30.15
1904-01-01 00:43:40.767591973,E4_Temperature,2024-06-28 14:02:07.742079973,30.15
1904-01-01 00:43:41.017601987,E4_Temperature,2024-06-28 14:02:07.992089987,30.15
1904-01-01 00:43:41.267622014,E4_Temperature,2024-06-28 14:02:08.242110014,30.13
1904-01-01 00:43:41.517632028,E4_Temperature,2024-06-28 14:02:08.492120028,30.13
1904-01-01 00:43:41.767642041,E4_Temperature,2024-06-28 14:02:08.742130041,30.13
1904-01-01 00:43:42.017652055,E4_Temperature,2024-06-28 14:02:08.992140055,30.13
1904-01-01 00:43:42.267662068,E4_Temperature,2024-06-28 14:02:09.242150068,30.15
1904-01-01 00:43:42.517672082,E4_Temperature,2024-06-28 14:02:09.492160082,30.15
1904-01-01 00:43:42.767692109,E4_Temperature,2024-06-28 14:02:09.742180109,30.15
1904-01-01 00:43:43.017701884,E4_Temperature,2024-06-28 14:02:09.992189884,30.15
1904-01-01 00:43:43.267711898,E4_Temperature,2024-06-28 14:02:10.242199898,30.13
1904-01-01 00:43:43.517721911,E4_Temperature,2024-06-28 14:02:10.492209911,30.13
1904-01-01 00:43:43.767731925,E4_Temperature,2024-06-28 14:02:10.742219925,30.13
1904-01-01 00:43:44.017741939,E4_Temperature,2024-06-28 14:02:10.992229939,30.13
1904-01-01 00:43:44.267751952,E4_Temperature,2024-06-28 14:02:11.242239952,30.13
1904-01-01 00:43:44.517771979,E4_Temperature,2024-06-28 14:02:11.492259979,30.13
1904-01-01 00:43:44.767781993,E4_Temperature,2024-06-28 14:02:11.742269993,30.13
1904-01-01 00:43:45.017792006,E4_Temperature,2024-06-28 14:02:11.992280006,30.13
1904-01-01 00:43:45.267802020,E4_Temperature,2024-06-28 14:02:12.242290020,30.11
1904-01-01 00:43:45.517812034,E4_Temperature,2024-06-28 14:02:12.492300034,30.11
1904-01-01 00:43:45.767822047,E4_Temperature,2024-06-28 14:02:12.742310047,30.11
1904-01-01 00:43:46.017842074,E4_Temperature,2024-06-28 14:02:12.992330074,30.11
1904-01-01 00:43:46.267852088,E4_Temperature,2024-06-28 14:02:13.242340088,30.15
1904-01-01 00:43:46.517862101,E4_Temperature,2024-06-28 14:02:13.492350101,30.15
1904-01-01 00:43:46.767872115,E4_Temperature,2024-06-28 14:02:13.742360115,30.15
1904-01-01 00:43:47.017881890,E4_Temperature,2024-06-28 14:02:13.992369890,30.15
