Seconds,Stream,E4_Seconds,Value
1904-01-01 00:38:34.778082952,E4_Gsr,2024-06-25 11:33:01.674999952,11.73844
1904-01-01 00:38:35.028082952,E4_Gsr,2024-06-25 11:33:01.924999952,11.7141
1904-01-01 00:38:35.278082952,E4_Gsr,2024-06-25 11:33:02.174999952,11.60647
1904-01-01 00:38:35.528082952,E4_Gsr,2024-06-25 11:33:02.424999952,11.4117
1904-01-01 00:38:35.778082952,E4_Gsr,2024-06-25 11:33:02.674999952,11.17081
1904-01-01 00:38:36.028082952,E4_Gsr,2024-06-25 11:33:02.924999952,10.90942
1904-01-01 00:38:36.278082952,E4_Gsr,2024-06-25 11:33:03.174999952,10.6579
1904-01-01 00:38:36.528082952,E4_Gsr,2024-06-25 11:33:03.424999952,10.45032
1904-01-01 00:38:36.778082952,E4_Gsr,2024-06-25 11:33:03.674999952,10.31144
1904-01-01 00:38:37.028082952,E4_Gsr,2024-06-25 11:33:03.924999952,10.20509
1904-01-01 00:38:37.278082952,E4_Gsr,2024-06-25 11:33:04.174999952,10.12437
1904-01-01 00:38:37.528082952,E4_Gsr,2024-06-25 11:33:04.424999952,10.07696
1904-01-01 00:38:37.778082952,E4_Gsr,2024-06-25 11:33:04.674999952,10.06671
1904-01-01 00:38:38.028082952,E4_Gsr,2024-06-25 11:33:04.924999952,10.09874
1904-01-01 00:38:38.278082952,E4_Gsr,2024-06-25 11:33:05.174999952,10.11284
1904-01-01 00:38:38.528082952,E4_Gsr,2024-06-25 11:33:05.424999952,10.13077
1904-01-01 00:38:38.778082952,E4_Gsr,2024-06-25 11:33:05.674999952,10.14359
1904-01-01 00:38:39.028082952,E4_Gsr,2024-06-25 11:33:05.924999952,10.21406
1904-01-01 00:38:39.278082952,E4_Gsr,2024-06-25 11:33:06.174999952,10.33707
1904-01-01 00:38:39.528082952,E4_Gsr,2024-06-25 11:33:06.424999952,10.45495
1904-01-01 00:38:39.778082952,E4_Gsr,2024-06-25 11:33:06.674999952,10.53311
1904-01-01 00:38:40.028082952,E4_Gsr,2024-06-25 11:33:06.924999952,10.5754
1904-01-01 00:38:40.278082952,E4_Gsr,2024-06-25 11:33:07.174999952,10.58693
1904-01-01 00:38:40.528082952,E4_Gsr,2024-06-25 11:33:07.424999952,10.60102
1904-01-01 00:38:40.778082952,E4_Gsr,2024-06-25 11:33:07.674999952,10.66381
1904-01-01 00:38:41.028082952,E4_Gsr,2024-06-25 11:33:07.924999952,10.82782
1904-01-01 00:38:41.278082952,E4_Gsr,2024-06-25 11:33:08.174999952,11.11355
1904-01-01 00:38:41.528082952,E4_Gsr,2024-06-25 11:33:08.424999952,11.44079
1904-01-01 00:38:41.778082952,E4_Gsr,2024-06-25 11:33:08.674999952,11.50998
1904-01-01 00:38:42.028082952,E4_Gsr,2024-06-25 11:33:08.924999952,11.48474
1904-01-01 00:38:42.278082952,E4_Gsr,2024-06-25 11:33:09.174999952,11.37326
1904-01-01 00:38:42.528082952,E4_Gsr,2024-06-25 11:33:09.424999952,11.19131
1904-01-01 00:38:42.778082952,E4_Gsr,2024-06-25 11:33:09.674999952,11.11187
1904-01-01 00:38:43.028082952,E4_Gsr,2024-06-25 11:33:09.924999952,10.94914
1904-01-01 00:38:43.278082952,E4_Gsr,2024-06-25 11:33:10.174999952,10.76041
1904-01-01 00:38:43.528082952,E4_Gsr,2024-06-25 11:33:10.424999952,10.49517
1904-01-01 00:38:43.778082952,E4_Gsr,2024-06-25 11:33:10.674999952,10.30553
1904-01-01 00:38:44.028082952,E4_Gsr,2024-06-25 11:33:10.924999952,9.873227
1904-01-01 00:38:44.278082952,E4_Gsr,2024-06-25 11:33:11.174999952,9.807575
1904-01-01 00:38:44.528082952,E4_Gsr,2024-06-25 11:33:11.424999952,9.862673
1904-01-01 00:38:44.778082952,E4_Gsr,2024-06-25 11:33:11.674999952,9.907519
1904-01-01 00:38:45.028082952,E4_Gsr,2024-06-25 11:33:11.924999952,9.920332
1904-01-01 00:38:45.278082952,E4_Gsr,2024-06-25 11:33:12.174999952,9.92802
1904-01-01 00:38:45.528082952,E4_Gsr,2024-06-25 11:33:12.424999952,9.954928
1904-01-01 00:38:45.778082952,E4_Gsr,2024-06-25 11:33:12.674999952,9.986961
1904-01-01 00:38:46.028082952,E4_Gsr,2024-06-25 11:33:12.924999952,9.99465
1904-01-01 00:38:46.278082952,E4_Gsr,2024-06-25 11:33:13.174999952,10.07025
1904-01-01 00:38:46.528082952,E4_Gsr,2024-06-25 11:33:13.424999952,10.25476
1904-01-01 00:38:46.778082952,E4_Gsr,2024-06-25 11:33:13.674999952,10.44952
1904-01-01 00:38:47.028082952,E4_Gsr,2024-06-25 11:33:13.924999952,10.56258
1904-01-01 00:38:47.278082952,E4_Gsr,2024-06-25 11:33:14.174999952,10.58821
1904-01-01 00:38:47.528082952,E4_Gsr,2024-06-25 11:33:14.424999952,10.56899
1904-01-01 00:38:47.778082952,E4_Gsr,2024-06-25 11:33:14.674999952,10.51645
1904-01-01 00:38:48.028082952,E4_Gsr,2024-06-25 11:33:14.924999952,10.56386
1904-01-01 00:38:48.278082952,E4_Gsr,2024-06-25 11:33:15.174999952,9.80916
1904-01-01 00:38:48.528082952,E4_Gsr,2024-06-25 11:33:15.424999952,9.302731
1904-01-01 00:38:48.778082952,E4_Gsr,2024-06-25 11:33:15.674999952,8.799175
1904-01-01 00:38:49.028082952,E4_Gsr,2024-06-25 11:33:15.924999952,8.269382
1904-01-01 00:38:49.278082952,E4_Gsr,2024-06-25 11:33:16.174999952,7.767199
1904-01-01 00:38:49.528082952,E4_Gsr,2024-06-25 11:33:16.424999952,7.26768
1904-01-01 00:38:49.778082952,E4_Gsr,2024-06-25 11:33:16.674999952,6.769378
1904-01-01 00:38:50.028082952,E4_Gsr,2024-06-25 11:33:16.924999952,6.270126
1904-01-01 00:38:50.278082952,E4_Gsr,2024-06-25 11:33:17.174999952,5.770976
1904-01-01 00:38:50.528082952,E4_Gsr,2024-06-25 11:33:17.424999952,5.271846
1904-01-01 00:38:50.778082952,E4_Gsr,2024-06-25 11:33:17.674999952,4.771304
1904-01-01 00:38:51.028082952,E4_Gsr,2024-06-25 11:33:17.924999952,4.27352
1904-01-01 00:38:51.278082952,E4_Gsr,2024-06-25 11:33:18.174999952,3.774669
1904-01-01 00:38:51.528082952,E4_Gsr,2024-06-25 11:33:18.424999952,3.27547
1904-01-01 00:38:51.778082952,E4_Gsr,2024-06-25 11:33:18.674999952,2.776954
1904-01-01 00:38:52.028082952,E4_Gsr,2024-06-25 11:33:18.924999952,2.279539
1904-01-01 00:38:52.278082952,E4_Gsr,2024-06-25 11:33:19.174999952,1.783465
1904-01-01 00:38:52.528082952,E4_Gsr,2024-06-25 11:33:19.424999952,1.272996
1904-01-01 00:38:52.778082952,E4_Gsr,2024-06-25 11:33:19.674999952,0.7833284
1904-01-01 00:38:53.028082952,E4_Gsr,2024-06-25 11:33:19.924999952,0.3065741
1904-01-01 00:38:53.278082952,E4_Gsr,2024-06-25 11:33:20.174999952,0.0
1904-01-01 00:38:53.528082952,E4_Gsr,2024-06-25 11:33:20.424999952,0.0
1904-01-01 00:38:53.778082952,E4_Gsr,2024-06-25 11:33:20.674999952,0.0
1904-01-01 00:38:54.028082952,E4_Gsr,2024-06-25 11:33:20.924999952,0.008969292
1904-01-01 00:38:54.278082952,E4_Gsr,2024-06-25 11:33:21.174999952,0.01281328
1904-01-01 00:38:54.528082952,E4_Gsr,2024-06-25 11:33:21.424999952,0.01665728
1904-01-01 00:38:54.778082952,E4_Gsr,2024-06-25 11:33:21.674999952,0.02050127
1904-01-01 00:38:55.028082952,E4_Gsr,2024-06-25 11:33:21.924999952,0.01665728
1904-01-01 00:38:55.278082952,E4_Gsr,2024-06-25 11:33:22.174999952,0.01921994
1904-01-01 00:38:55.528082952,E4_Gsr,2024-06-25 11:33:22.424999952,0.01921994
1904-01-01 00:38:55.778082952,E4_Gsr,2024-06-25 11:33:22.674999952,0.0217826
1904-01-01 00:38:56.028082952,E4_Gsr,2024-06-25 11:33:22.924999952,0.01793861
1904-01-01 00:38:56.278082952,E4_Gsr,2024-06-25 11:33:23.174999952,0.01793861
1904-01-01 00:38:56.528082952,E4_Gsr,2024-06-25 11:33:23.424999952,0.02050127
1904-01-01 00:38:56.778082952,E4_Gsr,2024-06-25 11:33:23.674999952,0.01793861
1904-01-01 00:38:57.028082952,E4_Gsr,2024-06-25 11:33:23.924999952,0.01793861
1904-01-01 00:38:57.278082952,E4_Gsr,2024-06-25 11:33:24.174999952,0.01793861
1904-01-01 00:38:57.528082952,E4_Gsr,2024-06-25 11:33:24.424999952,0.02050127
1904-01-01 00:38:57.778082952,E4_Gsr,2024-06-25 11:33:24.674999952,0.02050127
1904-01-01 00:38:58.028082952,E4_Gsr,2024-06-25 11:33:24.924999952,0.01793861
1904-01-01 00:38:58.278082952,E4_Gsr,2024-06-25 11:33:25.174999952,0.01921994
1904-01-01 00:38:58.528082952,E4_Gsr,2024-06-25 11:33:25.424999952,0.02050127
1904-01-01 00:38:58.778082952,E4_Gsr,2024-06-25 11:33:25.674999952,0.02050127
1904-01-01 00:38:59.028082952,E4_Gsr,2024-06-25 11:33:25.924999952,0.01921994
1904-01-01 00:38:59.278082952,E4_Gsr,2024-06-25 11:33:26.174999952,0.02050127
1904-01-01 00:38:59.528082952,E4_Gsr,2024-06-25 11:33:26.424999952,0.0217826
1904-01-01 00:38:59.778082952,E4_Gsr,2024-06-25 11:33:26.674999952,0.01921994
1904-01-01 00:39:00.028082952,E4_Gsr,2024-06-25 11:33:26.924999952,0.01793861
1904-01-01 00:39:00.278082952,E4_Gsr,2024-06-25 11:33:27.174999952,0.0217826
1904-01-01 00:39:00.528082952,E4_Gsr,2024-06-25 11:33:27.424999952,0.0217826
1904-01-01 00:39:00.778082952,E4_Gsr,2024-06-25 11:33:27.674999952,0.02050127
1904-01-01 00:39:01.028082952,E4_Gsr,2024-06-25 11:33:27.924999952,0.01921994
1904-01-01 00:39:01.278082952,E4_Gsr,2024-06-25 11:33:28.174999952,0.0217826
1904-01-01 00:39:01.528082952,E4_Gsr,2024-06-25 11:33:28.424999952,0.0217826
1904-01-01 00:39:01.778082952,E4_Gsr,2024-06-25 11:33:28.674999952,0.01793861
1904-01-01 00:39:02.028082952,E4_Gsr,2024-06-25 11:33:28.924999952,0.01921994
1904-01-01 00:39:02.278082952,E4_Gsr,2024-06-25 11:33:29.174999952,0.0217826
1904-01-01 00:39:02.528082952,E4_Gsr,2024-06-25 11:33:29.424999952,0.01793861
1904-01-01 00:39:02.778082952,E4_Gsr,2024-06-25 11:33:29.674999952,0.01921994
1904-01-01 00:39:03.028082952,E4_Gsr,2024-06-25 11:33:29.924999952,0.01793861
1904-01-01 00:39:03.278082952,E4_Gsr,2024-06-25 11:33:30.174999952,0.01793861
1904-01-01 00:39:03.528082952,E4_Gsr,2024-06-25 11:33:30.424999952,0.01921994
1904-01-01 00:39:03.778082952,E4_Gsr,2024-06-25 11:33:30.674999952,0.02050127
1904-01-01 00:39:04.028082952,E4_Gsr,2024-06-25 11:33:30.924999952,0.0217826
1904-01-01 00:39:04.278082952,E4_Gsr,2024-06-25 11:33:31.174999952,0.02306393
1904-01-01 00:39:04.528082952,E4_Gsr,2024-06-25 11:33:31.424999952,0.01793861
1904-01-01 00:39:04.778082952,E4_Gsr,2024-06-25 11:33:31.674999952,0.01921994
1904-01-01 00:39:05.028082952,E4_Gsr,2024-06-25 11:33:31.924999952,0.0217826
1904-01-01 00:39:05.278082952,E4_Gsr,2024-06-25 11:33:32.174999952,0.02050127
1904-01-01 00:39:05.528082952,E4_Gsr,2024-06-25 11:33:32.424999952,0.02050127
1904-01-01 00:39:05.778082952,E4_Gsr,2024-06-25 11:33:32.674999952,0.0217826
