Seconds,Stream,E4_Seconds,Value
1904-01-01 00:14:22.905476101,E4_Gsr,2024-06-27 13:49:46.969000101,0.002562844
1904-01-01 00:14:23.155476101,E4_Gsr,2024-06-27 13:49:47.219000101,0.007688477
1904-01-01 00:14:23.405476101,E4_Gsr,2024-06-27 13:49:47.469000101,0.002562844
1904-01-01 00:14:23.655476101,E4_Gsr,2024-06-27 13:49:47.719000101,0.003844253
1904-01-01 00:14:23.905476101,E4_Gsr,2024-06-27 13:49:47.969000101,0.006407069
1904-01-01 00:14:24.155476101,E4_Gsr,2024-06-27 13:49:48.219000101,0.003844253
1904-01-01 00:14:24.405476101,E4_Gsr,2024-06-27 13:49:48.469000101,0.005125661
1904-01-01 00:14:24.655476101,E4_Gsr,2024-06-27 13:49:48.719000101,0.005125661
1904-01-01 00:14:24.905476101,E4_Gsr,2024-06-27 13:49:48.969000101,0.003844253
1904-01-01 00:14:25.155476101,E4_Gsr,2024-06-27 13:49:49.219000101,0.005125661
1904-01-01 00:14:25.405476101,E4_Gsr,2024-06-27 13:49:49.469000101,0.002562844
1904-01-01 00:14:25.655476101,E4_Gsr,2024-06-27 13:49:49.719000101,0.003844253
1904-01-01 00:14:25.905476101,E4_Gsr,2024-06-27 13:49:49.969000101,0.003844253
1904-01-01 00:14:26.155476101,E4_Gsr,2024-06-27 13:49:50.219000101,0.002562844
1904-01-01 00:14:26.405476101,E4_Gsr,2024-06-27 13:49:50.469000101,0.006407069
1904-01-01 00:14:26.655476101,E4_Gsr,2024-06-27 13:49:50.719000101,0.005125661
1904-01-01 00:14:26.905476101,E4_Gsr,2024-06-27 13:49:50.969000101,0.002562844
1904-01-01 00:14:27.155476101,E4_Gsr,2024-06-27 13:49:51.219000101,0.006407069
1904-01-01 00:14:27.405476101,E4_Gsr,2024-06-27 13:49:51.469000101,0.002562844
1904-01-01 00:14:27.655476101,E4_Gsr,2024-06-27 13:49:51.719000101,0.002562844
1904-01-01 00:14:27.905476101,E4_Gsr,2024-06-27 13:49:51.969000101,0.006407069
1904-01-01 00:14:28.155476101,E4_Gsr,2024-06-27 13:49:52.219000101,0.002562844
1904-01-01 00:14:28.405476101,E4_Gsr,2024-06-27 13:49:52.469000101,0.005125661
1904-01-01 00:14:28.655476101,E4_Gsr,2024-06-27 13:49:52.719000101,0.006407069
1904-01-01 00:14:28.905476101,E4_Gsr,2024-06-27 13:49:52.969000101,0.006407069
1904-01-01 00:14:29.155476101,E4_Gsr,2024-06-27 13:49:53.219000101,0.005125661
1904-01-01 00:14:29.405476101,E4_Gsr,2024-06-27 13:49:53.469000101,0.002562844
1904-01-01 00:14:29.655476101,E4_Gsr,2024-06-27 13:49:53.719000101,0.002562844
1904-01-01 00:14:29.905476101,E4_Gsr,2024-06-27 13:49:53.969000101,0.005125661
1904-01-01 00:14:30.155476101,E4_Gsr,2024-06-27 13:49:54.219000101,0.002562844
1904-01-01 00:14:30.405476101,E4_Gsr,2024-06-27 13:49:54.469000101,0.005125661
1904-01-01 00:14:30.655476101,E4_Gsr,2024-06-27 13:49:54.719000101,0.005125661
1904-01-01 00:14:30.905476101,E4_Gsr,2024-06-27 13:49:54.969000101,0.003844253
1904-01-01 00:14:31.155476101,E4_Gsr,2024-06-27 13:49:55.219000101,0.003844253
1904-01-01 00:14:31.405476101,E4_Gsr,2024-06-27 13:49:55.469000101,0.003844253
1904-01-01 00:14:31.655476101,E4_Gsr,2024-06-27 13:49:55.719000101,0.003844253
1904-01-01 00:14:31.905476101,E4_Gsr,2024-06-27 13:49:55.969000101,0.006407069
1904-01-01 00:14:32.155476101,E4_Gsr,2024-06-27 13:49:56.219000101,0.002562844
1904-01-01 00:14:32.405476101,E4_Gsr,2024-06-27 13:49:56.469000101,0.005125661
1904-01-01 00:14:32.655476101,E4_Gsr,2024-06-27 13:49:56.719000101,0.005125661
1904-01-01 00:14:32.905476101,E4_Gsr,2024-06-27 13:49:56.969000101,0.002562844
1904-01-01 00:14:33.155476101,E4_Gsr,2024-06-27 13:49:57.219000101,0.006407069
1904-01-01 00:14:33.405476101,E4_Gsr,2024-06-27 13:49:57.469000101,0.002562844
1904-01-01 00:14:33.655476101,E4_Gsr,2024-06-27 13:49:57.719000101,0.002562844
1904-01-01 00:14:33.905476101,E4_Gsr,2024-06-27 13:49:57.969000101,0.005125661
1904-01-01 00:14:34.155476101,E4_Gsr,2024-06-27 13:49:58.219000101,0.002562844
1904-01-01 00:14:34.405476101,E4_Gsr,2024-06-27 13:49:58.469000101,0.003844253
1904-01-01 00:14:34.655476101,E4_Gsr,2024-06-27 13:49:58.719000101,0.006407069
1904-01-01 00:14:34.905476101,E4_Gsr,2024-06-27 13:49:58.969000101,0.002562844
1904-01-01 00:14:35.155476101,E4_Gsr,2024-06-27 13:49:59.219000101,0.003844253
1904-01-01 00:14:35.405476101,E4_Gsr,2024-06-27 13:49:59.469000101,0.002562844
1904-01-01 00:14:35.655476101,E4_Gsr,2024-06-27 13:49:59.719000101,0.002562844
1904-01-01 00:14:35.905476101,E4_Gsr,2024-06-27 13:49:59.969000101,0.005125661
1904-01-01 00:14:36.155476101,E4_Gsr,2024-06-27 13:50:00.219000101,0.002562844
1904-01-01 00:14:36.405476101,E4_Gsr,2024-06-27 13:50:00.469000101,0.005125661
1904-01-01 00:14:36.655476101,E4_Gsr,2024-06-27 13:50:00.719000101,0.005125661
1904-01-01 00:14:36.905476101,E4_Gsr,2024-06-27 13:50:00.969000101,0.003844253
1904-01-01 00:14:37.155476101,E4_Gsr,2024-06-27 13:50:01.219000101,0.003844253
1904-01-01 00:14:37.405476101,E4_Gsr,2024-06-27 13:50:01.469000101,0.006407069
1904-01-01 00:14:37.655476101,E4_Gsr,2024-06-27 13:50:01.719000101,0.003844253
1904-01-01 00:14:37.905476101,E4_Gsr,2024-06-27 13:50:01.969000101,0.005125661
1904-01-01 00:14:38.155476101,E4_Gsr,2024-06-27 13:50:02.219000101,0.002562844
1904-01-01 00:14:38.405476101,E4_Gsr,2024-06-27 13:50:02.469000101,0.003844253
1904-01-01 00:14:38.655476101,E4_Gsr,2024-06-27 13:50:02.719000101,0.005125661
1904-01-01 00:14:38.905476101,E4_Gsr,2024-06-27 13:50:02.969000101,0.002562844
1904-01-01 00:14:39.155476101,E4_Gsr,2024-06-27 13:50:03.219000101,0.003844253
1904-01-01 00:14:39.405476101,E4_Gsr,2024-06-27 13:50:03.469000101,0.005125661
1904-01-01 00:14:39.655476101,E4_Gsr,2024-06-27 13:50:03.719000101,0.003844253
1904-01-01 00:14:39.905476101,E4_Gsr,2024-06-27 13:50:03.969000101,0.006407069
1904-01-01 00:14:40.155476101,E4_Gsr,2024-06-27 13:50:04.219000101,0.002562844
1904-01-01 00:14:40.405476101,E4_Gsr,2024-06-27 13:50:04.469000101,0.002562844
1904-01-01 00:14:40.655476101,E4_Gsr,2024-06-27 13:50:04.719000101,0.006407069
1904-01-01 00:14:40.905476101,E4_Gsr,2024-06-27 13:50:04.969000101,0.002562844
1904-01-01 00:14:41.155476101,E4_Gsr,2024-06-27 13:50:05.219000101,0.003844253
1904-01-01 00:14:41.405476101,E4_Gsr,2024-06-27 13:50:05.469000101,0.006407069
1904-01-01 00:14:41.655476101,E4_Gsr,2024-06-27 13:50:05.719000101,0.002562844
1904-01-01 00:14:41.905476101,E4_Gsr,2024-06-27 13:50:05.969000101,0.006407069
1904-01-01 00:14:42.155476101,E4_Gsr,2024-06-27 13:50:06.219000101,0.002562844
1904-01-01 00:14:42.405476101,E4_Gsr,2024-06-27 13:50:06.469000101,0.003844253
1904-01-01 00:14:42.655476101,E4_Gsr,2024-06-27 13:50:06.719000101,0.005125661
1904-01-01 00:14:42.905476101,E4_Gsr,2024-06-27 13:50:06.969000101,0.002562844
1904-01-01 00:14:43.155476101,E4_Gsr,2024-06-27 13:50:07.219000101,0.005125661
1904-01-01 00:14:43.405476101,E4_Gsr,2024-06-27 13:50:07.469000101,0.006407069
1904-01-01 00:14:43.655476101,E4_Gsr,2024-06-27 13:50:07.719000101,0.002562844
1904-01-01 00:14:43.905476101,E4_Gsr,2024-06-27 13:50:07.969000101,0.003844253
1904-01-01 00:14:44.155476101,E4_Gsr,2024-06-27 13:50:08.219000101,0.002562844
1904-01-01 00:14:44.405476101,E4_Gsr,2024-06-27 13:50:08.469000101,0.002562844
1904-01-01 00:14:44.655476101,E4_Gsr,2024-06-27 13:50:08.719000101,0.006407069
1904-01-01 00:14:44.905476101,E4_Gsr,2024-06-27 13:50:08.969000101,0.002562844
1904-01-01 00:14:45.155476101,E4_Gsr,2024-06-27 13:50:09.219000101,0.005125661
1904-01-01 00:14:45.405476101,E4_Gsr,2024-06-27 13:50:09.469000101,0.005125661
1904-01-01 00:14:45.655476101,E4_Gsr,2024-06-27 13:50:09.719000101,0.003844253
