Seconds,Stream,E4_Seconds,Value
1904-01-01 00:21:18.990525969,E4_Ibi,2024-06-27 13:56:43.054049969,0.6406548
1904-01-01 00:21:19.599936016,E4_Ibi,2024-06-27 13:56:43.663460016,0.6094031
1904-01-01 00:22:20.352746018,E4_Ibi,2024-06-27 13:57:44.416270018,0.6875317
1904-01-01 00:22:20.946526058,E4_Ibi,2024-06-27 13:57:45.010050058,0.5937777
1904-01-01 00:22:26.196765907,E4_Ibi,2024-06-27 13:57:50.260289907,0.562526
1904-01-01 00:22:26.899925955,E4_Ibi,2024-06-27 13:57:50.963449955,0.7031577
1904-01-01 00:23:24.621346005,E4_Ibi,2024-06-27 13:58:48.684870005,0.562526
1904-01-01 00:23:25.183876045,E4_Ibi,2024-06-27 13:58:49.247400045,0.5625262
1904-01-01 00:25:47.206075915,E4_Ibi,2024-06-27 14:01:11.269599915,0.343766
1904-01-01 00:26:12.379116066,E4_Ibi,2024-06-27 14:01:36.442640066,0.5781517
1904-01-01 00:28:07.384445913,E4_Ibi,2024-06-27 14:03:31.447969913,0.6094031
1904-01-01 00:28:07.993845947,E4_Ibi,2024-06-27 14:03:32.057369947,0.6094034
1904-01-01 00:28:08.540745981,E4_Ibi,2024-06-27 14:03:32.604269981,0.5469003
1904-01-01 00:28:09.150146015,E4_Ibi,2024-06-27 14:03:33.213670015,0.6094031
1904-01-01 00:28:15.947335966,E4_Ibi,2024-06-27 14:03:40.010859966,0.4843976
1904-01-01 00:28:16.494246014,E4_Ibi,2024-06-27 14:03:40.557770014,0.5469003
1904-01-01 00:29:31.044565924,E4_Ibi,2024-06-27 14:04:55.108089924,0.5937774
1904-01-01 00:29:31.591465958,E4_Ibi,2024-06-27 14:04:55.654989958,0.5469003
1904-01-01 00:29:38.013645895,E4_Ibi,2024-06-27 14:05:02.077169895,0.6250288
1904-01-01 00:29:41.060656079,E4_Ibi,2024-06-27 14:05:05.124180079,0.5156488
1904-01-01 00:29:41.638806112,E4_Ibi,2024-06-27 14:05:05.702330112,0.5781517
1904-01-01 00:29:42.232585915,E4_Ibi,2024-06-27 14:05:06.296109915,0.5937774
1904-01-01 00:29:42.826365956,E4_Ibi,2024-06-27 14:05:06.889889956,0.5937777
1904-01-01 00:29:45.826505907,E4_Ibi,2024-06-27 14:05:09.890029907,0.5469005
1904-01-01 00:29:46.357775934,E4_Ibi,2024-06-27 14:05:10.421299934,0.5312746
1904-01-01 00:29:50.139205940,E4_Ibi,2024-06-27 14:05:14.202729940,0.6562803
1904-01-01 00:29:50.779855974,E4_Ibi,2024-06-27 14:05:14.843379974,0.6406548
1904-01-01 00:29:51.373636015,E4_Ibi,2024-06-27 14:05:15.437160015,0.5937774
1904-01-01 00:29:51.920536049,E4_Ibi,2024-06-27 14:05:15.984060049,0.5469003
1904-01-01 00:29:52.561186083,E4_Ibi,2024-06-27 14:05:16.624710083,0.6406548
1904-01-01 00:29:53.076836117,E4_Ibi,2024-06-27 14:05:17.140360117,0.5156488
1904-01-01 00:29:53.717495926,E4_Ibi,2024-06-27 14:05:17.781019926,0.6406546
1904-01-01 00:29:54.326895960,E4_Ibi,2024-06-27 14:05:18.390419960,0.6094034
1904-01-01 00:29:57.170775898,E4_Ibi,2024-06-27 14:05:21.234299898,0.5937774
1904-01-01 00:29:59.655266054,E4_Ibi,2024-06-27 14:05:23.718790054,0.5781519
1904-01-01 00:30:00.124036081,E4_Ibi,2024-06-27 14:05:24.187560081,0.4687717
1904-01-01 00:30:00.702195891,E4_Ibi,2024-06-27 14:05:24.765719891,0.5781517
1904-01-01 00:30:01.342845925,E4_Ibi,2024-06-27 14:05:25.406369925,0.6406548
1904-01-01 00:30:01.999125965,E4_Ibi,2024-06-27 14:05:26.062649965,0.6562803
1904-01-01 00:30:02.592906006,E4_Ibi,2024-06-27 14:05:26.656430006,0.5937774
1904-01-01 00:30:03.202306040,E4_Ibi,2024-06-27 14:05:27.265830040,0.6094034
1904-01-01 00:30:18.312386044,E4_Ibi,2024-06-27 14:05:42.375910044,0.5156488
1904-01-01 00:30:19.031166084,E4_Ibi,2024-06-27 14:05:43.094690084,0.7187833
1904-01-01 00:30:33.469336040,E4_Ibi,2024-06-27 14:05:57.532860040,0.4062688
1904-01-01 00:30:33.906856068,E4_Ibi,2024-06-27 14:05:57.970380068,0.4375203
1904-01-01 00:30:34.391256102,E4_Ibi,2024-06-27 14:05:58.454780102,0.4843974
1904-01-01 00:30:34.875645884,E4_Ibi,2024-06-27 14:05:58.939169884,0.4843974
1904-01-01 00:30:37.828916081,E4_Ibi,2024-06-27 14:06:01.892440081,0.562526
1904-01-01 00:30:38.297686108,E4_Ibi,2024-06-27 14:06:02.361210108,0.4687717
1904-01-01 00:30:40.688416012,E4_Ibi,2024-06-27 14:06:04.751940012,0.5781517
1904-01-01 00:30:41.313446053,E4_Ibi,2024-06-27 14:06:05.376970053,0.6250291
1904-01-01 00:30:44.172955998,E4_Ibi,2024-06-27 14:06:08.236479998,0.6562803
1904-01-01 00:30:44.813606032,E4_Ibi,2024-06-27 14:06:08.877130032,0.6406548
1904-01-01 00:30:45.298006066,E4_Ibi,2024-06-27 14:06:09.361530066,0.4843974
1904-01-01 00:30:45.923036106,E4_Ibi,2024-06-27 14:06:09.986560106,0.6250288
1904-01-01 00:30:46.391805895,E4_Ibi,2024-06-27 14:06:10.455329895,0.4687717
1904-01-01 00:30:47.016835936,E4_Ibi,2024-06-27 14:06:11.080359936,0.6250291
1904-01-01 00:31:09.002225883,E4_Ibi,2024-06-27 14:06:33.065749883,0.562526
1904-01-01 00:32:14.067745932,E4_Ibi,2024-06-27 14:07:38.131269932,0.5937774
1904-01-01 00:32:14.567765959,E4_Ibi,2024-06-27 14:07:38.631289959,0.5000234
1904-01-01 00:32:28.115266092,E4_Ibi,2024-06-27 14:07:52.178790092,0.5000231
1904-01-01 00:32:46.397366055,E4_Ibi,2024-06-27 14:08:10.460890055,0.5000231
1904-01-01 00:32:46.913016089,E4_Ibi,2024-06-27 14:08:10.976540089,0.5156491
1904-01-01 00:32:47.381786116,E4_Ibi,2024-06-27 14:08:11.445310116,0.4687717
1904-01-01 00:32:49.803776034,E4_Ibi,2024-06-27 14:08:13.867300034,0.5469003
1904-01-01 00:32:53.132056006,E4_Ibi,2024-06-27 14:08:17.195580006,0.453146
1904-01-01 00:32:53.600826033,E4_Ibi,2024-06-27 14:08:17.664350033,0.4687717
1904-01-01 00:32:54.022716053,E4_Ibi,2024-06-27 14:08:18.086240053,0.4218945
1904-01-01 00:33:22.602165945,E4_Ibi,2024-06-27 14:08:46.665689945,0.5000231
1904-01-01 00:33:58.713216074,E4_Ibi,2024-06-27 14:09:22.776740074,0.4687717
1904-01-01 00:34:10.448136099,E4_Ibi,2024-06-27 14:09:34.511660099,0.5781517
1904-01-01 00:34:10.963785895,E4_Ibi,2024-06-27 14:09:35.027309895,0.5156488
1904-01-01 00:34:11.448175915,E4_Ibi,2024-06-27 14:09:35.511699915,0.4843976
1904-01-01 00:34:23.042465933,E4_Ibi,2024-06-27 14:09:47.105989933,0.453146
1904-01-01 00:34:36.824356087,E4_Ibi,2024-06-27 14:10:00.887880087,0.6562805
1904-01-01 00:34:42.027725943,E4_Ibi,2024-06-27 14:10:06.091249943,0.5625262
1904-01-01 00:34:44.371576079,E4_Ibi,2024-06-27 14:10:08.435100079,0.5000231
1904-01-01 00:34:44.887226113,E4_Ibi,2024-06-27 14:10:08.950750113,0.5156488
1904-01-01 00:34:45.449755915,E4_Ibi,2024-06-27 14:10:09.513279915,0.562526
1904-01-01 00:34:45.887275942,E4_Ibi,2024-06-27 14:10:09.950799942,0.4375203
1904-01-01 00:34:48.918665894,E4_Ibi,2024-06-27 14:10:12.982189894,0.5312746
1904-01-01 00:34:51.856306084,E4_Ibi,2024-06-27 14:10:15.919830084,0.4843974
1904-01-01 00:35:15.091756113,E4_Ibi,2024-06-27 14:10:39.155280113,0.5312746
1904-01-01 00:35:15.544895895,E4_Ibi,2024-06-27 14:10:39.608419895,0.453146
1904-01-01 00:35:15.998045929,E4_Ibi,2024-06-27 14:10:40.061569929,0.453146
1904-01-01 00:35:16.513695963,E4_Ibi,2024-06-27 14:10:40.577219963,0.5156491
1904-01-01 00:35:16.998085983,E4_Ibi,2024-06-27 14:10:41.061609983,0.4843974
1904-01-01 00:35:33.983256109,E4_Ibi,2024-06-27 14:10:58.046780109,0.5000231
1904-01-01 00:35:34.452025897,E4_Ibi,2024-06-27 14:10:58.515549897,0.4687717
1904-01-01 00:35:43.921216019,E4_Ibi,2024-06-27 14:11:07.984740019,0.4687717
1904-01-01 00:35:44.405606039,E4_Ibi,2024-06-27 14:11:08.469130039,0.4843976
1904-01-01 00:35:44.843126066,E4_Ibi,2024-06-27 14:11:08.906650066,0.4375203
1904-01-01 00:35:45.311906107,E4_Ibi,2024-06-27 14:11:09.375430107,0.4687717
1904-01-01 00:35:45.702545889,E4_Ibi,2024-06-27 14:11:09.766069889,0.3906429
1904-01-01 00:36:07.297296055,E4_Ibi,2024-06-27 14:11:31.360820055,0.5469003
1904-01-01 00:36:07.781696089,E4_Ibi,2024-06-27 14:11:31.845220089,0.4843974
1904-01-01 00:36:08.359845884,E4_Ibi,2024-06-27 14:11:32.423369884,0.5781519
1904-01-01 00:36:08.891115912,E4_Ibi,2024-06-27 14:11:32.954639912,0.5312746
1904-01-01 00:36:09.453645952,E4_Ibi,2024-06-27 14:11:33.517169952,0.562526
1904-01-01 00:36:12.578785904,E4_Ibi,2024-06-27 14:11:36.642309904,0.5312746
1904-01-01 00:36:13.156945952,E4_Ibi,2024-06-27 14:11:37.220469952,0.5781519
1904-01-01 00:36:13.672585972,E4_Ibi,2024-06-27 14:11:37.736109972,0.5156488
