Seconds,Stream,E4_Seconds,Value
1904-01-01 00:14:22.929116018,E4_Temperature,2024-06-27 13:49:46.992640018,34.37
1904-01-01 00:14:23.179126032,E4_Temperature,2024-06-27 13:49:47.242650032,34.37
1904-01-01 00:14:23.429146059,E4_Temperature,2024-06-27 13:49:47.492670059,34.37
1904-01-01 00:14:23.679156073,E4_Temperature,2024-06-27 13:49:47.742680073,34.37
1904-01-01 00:14:23.929166086,E4_Temperature,2024-06-27 13:49:47.992690086,34.39
1904-01-01 00:14:24.179176100,E4_Temperature,2024-06-27 13:49:48.242700100,34.39
1904-01-01 00:14:24.429186114,E4_Temperature,2024-06-27 13:49:48.492710114,34.39
1904-01-01 00:14:24.679195889,E4_Temperature,2024-06-27 13:49:48.742719889,34.39
1904-01-01 00:14:24.929215916,E4_Temperature,2024-06-27 13:49:48.992739916,34.35
1904-01-01 00:14:25.179225929,E4_Temperature,2024-06-27 13:49:49.242749929,34.35
1904-01-01 00:14:25.429235943,E4_Temperature,2024-06-27 13:49:49.492759943,34.35
1904-01-01 00:14:25.679245957,E4_Temperature,2024-06-27 13:49:49.742769957,34.35
1904-01-01 00:14:25.929255970,E4_Temperature,2024-06-27 13:49:49.992779970,34.35
1904-01-01 00:14:26.179265984,E4_Temperature,2024-06-27 13:49:50.242789984,34.35
1904-01-01 00:14:26.429286011,E4_Temperature,2024-06-27 13:49:50.492810011,34.35
1904-01-01 00:14:26.679296024,E4_Temperature,2024-06-27 13:49:50.742820024,34.35
1904-01-01 00:14:26.929306038,E4_Temperature,2024-06-27 13:49:50.992830038,34.33
1904-01-01 00:14:27.179316052,E4_Temperature,2024-06-27 13:49:51.242840052,34.33
1904-01-01 00:14:27.429326065,E4_Temperature,2024-06-27 13:49:51.492850065,34.33
1904-01-01 00:14:27.679336079,E4_Temperature,2024-06-27 13:49:51.742860079,34.33
1904-01-01 00:14:27.929346092,E4_Temperature,2024-06-27 13:49:51.992870092,34.33
1904-01-01 00:14:28.179365881,E4_Temperature,2024-06-27 13:49:52.242889881,34.33
1904-01-01 00:14:28.429375895,E4_Temperature,2024-06-27 13:49:52.492899895,34.33
1904-01-01 00:14:28.679385908,E4_Temperature,2024-06-27 13:49:52.742909908,34.33
1904-01-01 00:14:28.929395922,E4_Temperature,2024-06-27 13:49:52.992919922,34.31
1904-01-01 00:14:29.179405935,E4_Temperature,2024-06-27 13:49:53.242929935,34.31
1904-01-01 00:14:29.429415949,E4_Temperature,2024-06-27 13:49:53.492939949,34.31
1904-01-01 00:14:29.679435976,E4_Temperature,2024-06-27 13:49:53.742959976,34.31
1904-01-01 00:14:29.929445990,E4_Temperature,2024-06-27 13:49:53.992969990,34.31
1904-01-01 00:14:30.179456003,E4_Temperature,2024-06-27 13:49:54.242980003,34.31
1904-01-01 00:14:30.429466017,E4_Temperature,2024-06-27 13:49:54.492990017,34.31
1904-01-01 00:14:30.679476031,E4_Temperature,2024-06-27 13:49:54.743000031,34.31
1904-01-01 00:14:30.929486044,E4_Temperature,2024-06-27 13:49:54.993010044,34.29
1904-01-01 00:14:31.179506071,E4_Temperature,2024-06-27 13:49:55.243030071,34.29
1904-01-01 00:14:31.429516085,E4_Temperature,2024-06-27 13:49:55.493040085,34.29
1904-01-01 00:14:31.679526098,E4_Temperature,2024-06-27 13:49:55.743050098,34.29
1904-01-01 00:14:31.929536112,E4_Temperature,2024-06-27 13:49:55.993060112,34.29
1904-01-01 00:14:32.179545887,E4_Temperature,2024-06-27 13:49:56.243069887,34.29
1904-01-01 00:14:32.429555901,E4_Temperature,2024-06-27 13:49:56.493079901,34.29
1904-01-01 00:14:32.679565914,E4_Temperature,2024-06-27 13:49:56.743089914,34.29
1904-01-01 00:14:32.929585941,E4_Temperature,2024-06-27 13:49:56.993109941,34.29
1904-01-01 00:14:33.179595955,E4_Temperature,2024-06-27 13:49:57.243119955,34.29
1904-01-01 00:14:33.429605969,E4_Temperature,2024-06-27 13:49:57.493129969,34.29
1904-01-01 00:14:33.679615982,E4_Temperature,2024-06-27 13:49:57.743139982,34.29
1904-01-01 00:14:33.929625996,E4_Temperature,2024-06-27 13:49:57.993149996,34.27
1904-01-01 00:14:34.179636009,E4_Temperature,2024-06-27 13:49:58.243160009,34.27
1904-01-01 00:14:34.429656037,E4_Temperature,2024-06-27 13:49:58.493180037,34.27
1904-01-01 00:14:34.679666050,E4_Temperature,2024-06-27 13:49:58.743190050,34.27
1904-01-01 00:14:34.929676064,E4_Temperature,2024-06-27 13:49:58.993200064,34.25
