,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
4,1904-01-01 00:14:26.769984,864.3902176,35001,27432,54.864
10,1904-01-01 00:15:34.950976,932.5717741,35002,61521,123.042
12,1904-01-01 00:15:50.516000,948.1364334000002,35003,69303,138.606
18,1904-01-01 00:16:48.480000,1006.1004368,35004,98284,196.568
22,1904-01-01 00:17:18.896992,1036.517944,35005,113492,226.984
27,1904-01-01 00:18:14.284992,1091.9058328,35101,141185,282.37
33,1904-01-01 00:19:18.184000,1155.8054841,35201,173134,346.268
57,1904-01-01 00:23:56.384000,1434.0096035,35102,312231,624.462
65,1904-01-01 00:25:10.705984,1508.3283889,35202,349389,698.778
69,1904-01-01 00:25:39.741984,1537.367665,35301,363908,727.816
131,1904-01-01 00:37:58.362976,2275.9877523,35103,733203,1466.406
138,1904-01-01 00:39:02.002976,2339.6278442,35203,765022,1530.044
142,1904-01-01 00:39:40.542976,2378.1696697,35302,784292,1568.584
147,1904-01-01 00:40:29.557984,2427.1822533,35006,808797,1617.594
