Seconds,Stream,E4_Seconds,Value
1904-01-01 00:17:55.603896051,E4_Gsr,2024-06-24 09:42:27.246000051,0.008969292
1904-01-01 00:17:55.853896051,E4_Gsr,2024-06-24 09:42:27.496000051,0.008969292
1904-01-01 00:17:56.103896051,E4_Gsr,2024-06-24 09:42:27.746000051,0.00640663
1904-01-01 00:17:56.353896051,E4_Gsr,2024-06-24 09:42:27.996000051,0.008969292
1904-01-01 00:17:56.603896051,E4_Gsr,2024-06-24 09:42:28.246000051,0.007687961
1904-01-01 00:17:56.853896051,E4_Gsr,2024-06-24 09:42:28.496000051,0.008969292
1904-01-01 00:17:57.103896051,E4_Gsr,2024-06-24 09:42:28.746000051,0.007687961
1904-01-01 00:17:57.353896051,E4_Gsr,2024-06-24 09:42:28.996000051,0.01025062
1904-01-01 00:17:57.603896051,E4_Gsr,2024-06-24 09:42:29.246000051,0.00640663
1904-01-01 00:17:57.853896051,E4_Gsr,2024-06-24 09:42:29.496000051,0.007687961
1904-01-01 00:17:58.103896051,E4_Gsr,2024-06-24 09:42:29.746000051,0.007687961
1904-01-01 00:17:58.353896051,E4_Gsr,2024-06-24 09:42:29.996000051,0.008969292
1904-01-01 00:17:58.603896051,E4_Gsr,2024-06-24 09:42:30.246000051,0.008969292
1904-01-01 00:17:58.853896051,E4_Gsr,2024-06-24 09:42:30.496000051,0.00640663
1904-01-01 00:17:59.103896051,E4_Gsr,2024-06-24 09:42:30.746000051,0.00640663
1904-01-01 00:17:59.353896051,E4_Gsr,2024-06-24 09:42:30.996000051,0.007687961
1904-01-01 00:17:59.603896051,E4_Gsr,2024-06-24 09:42:31.246000051,0.008969292
1904-01-01 00:17:59.853896051,E4_Gsr,2024-06-24 09:42:31.496000051,0.01025062
1904-01-01 00:18:00.103896051,E4_Gsr,2024-06-24 09:42:31.746000051,0.00640663
1904-01-01 00:18:00.353896051,E4_Gsr,2024-06-24 09:42:31.996000051,0.00640663
1904-01-01 00:18:00.603896051,E4_Gsr,2024-06-24 09:42:32.246000051,0.00640663
1904-01-01 00:18:00.853896051,E4_Gsr,2024-06-24 09:42:32.496000051,0.008969292
1904-01-01 00:18:01.103896051,E4_Gsr,2024-06-24 09:42:32.746000051,0.008969292
1904-01-01 00:18:01.353896051,E4_Gsr,2024-06-24 09:42:32.996000051,0.008969292
1904-01-01 00:18:01.603896051,E4_Gsr,2024-06-24 09:42:33.246000051,0.00640663
1904-01-01 00:18:01.853896051,E4_Gsr,2024-06-24 09:42:33.496000051,0.00640663
1904-01-01 00:18:02.103896051,E4_Gsr,2024-06-24 09:42:33.746000051,0.008969292
1904-01-01 00:18:02.353896051,E4_Gsr,2024-06-24 09:42:33.996000051,0.007687961
1904-01-01 00:18:02.603896051,E4_Gsr,2024-06-24 09:42:34.246000051,0.008969292
1904-01-01 00:18:02.853896051,E4_Gsr,2024-06-24 09:42:34.496000051,0.00640663
1904-01-01 00:18:03.103896051,E4_Gsr,2024-06-24 09:42:34.746000051,0.00640663
1904-01-01 00:18:03.353896051,E4_Gsr,2024-06-24 09:42:34.996000051,0.00640663
1904-01-01 00:18:03.603896051,E4_Gsr,2024-06-24 09:42:35.246000051,0.007687961
1904-01-01 00:18:03.853896051,E4_Gsr,2024-06-24 09:42:35.496000051,0.008969292
1904-01-01 00:18:04.103896051,E4_Gsr,2024-06-24 09:42:35.746000051,0.008969292
1904-01-01 00:18:04.353896051,E4_Gsr,2024-06-24 09:42:35.996000051,0.00640663
1904-01-01 00:18:04.603896051,E4_Gsr,2024-06-24 09:42:36.246000051,0.00640663
1904-01-01 00:18:04.853896051,E4_Gsr,2024-06-24 09:42:36.496000051,0.00640663
1904-01-01 00:18:05.103896051,E4_Gsr,2024-06-24 09:42:36.746000051,0.008969292
1904-01-01 00:18:05.353896051,E4_Gsr,2024-06-24 09:42:36.996000051,0.008969292
1904-01-01 00:18:05.603896051,E4_Gsr,2024-06-24 09:42:37.246000051,0.008969292
1904-01-01 00:18:05.853896051,E4_Gsr,2024-06-24 09:42:37.496000051,0.00640663
1904-01-01 00:18:06.103896051,E4_Gsr,2024-06-24 09:42:37.746000051,0.00640663
1904-01-01 00:18:06.353896051,E4_Gsr,2024-06-24 09:42:37.996000051,0.007687961
1904-01-01 00:18:06.603896051,E4_Gsr,2024-06-24 09:42:38.246000051,0.01025062
1904-01-01 00:18:06.853896051,E4_Gsr,2024-06-24 09:42:38.496000051,0.008969292
1904-01-01 00:18:07.103896051,E4_Gsr,2024-06-24 09:42:38.746000051,0.005125299
1904-01-01 00:18:07.353896051,E4_Gsr,2024-06-24 09:42:38.996000051,0.00640663
1904-01-01 00:18:07.603896051,E4_Gsr,2024-06-24 09:42:39.246000051,0.00640663
1904-01-01 00:18:07.853896051,E4_Gsr,2024-06-24 09:42:39.496000051,0.007687961
1904-01-01 00:18:08.103896051,E4_Gsr,2024-06-24 09:42:39.746000051,0.00640663
1904-01-01 00:18:08.353896051,E4_Gsr,2024-06-24 09:42:39.996000051,0.00640663
1904-01-01 00:18:08.603896051,E4_Gsr,2024-06-24 09:42:40.246000051,0.00640663
1904-01-01 00:18:08.853896051,E4_Gsr,2024-06-24 09:42:40.496000051,0.007687961
1904-01-01 00:18:09.103896051,E4_Gsr,2024-06-24 09:42:40.746000051,0.008969292
1904-01-01 00:18:09.353896051,E4_Gsr,2024-06-24 09:42:40.996000051,0.008969292
1904-01-01 00:18:09.603896051,E4_Gsr,2024-06-24 09:42:41.246000051,0.008969292
1904-01-01 00:18:09.853896051,E4_Gsr,2024-06-24 09:42:41.496000051,0.005125299
1904-01-01 00:18:10.103896051,E4_Gsr,2024-06-24 09:42:41.746000051,0.00640663
1904-01-01 00:18:10.353896051,E4_Gsr,2024-06-24 09:42:41.996000051,0.008969292
1904-01-01 00:18:10.603896051,E4_Gsr,2024-06-24 09:42:42.246000051,0.008969292
1904-01-01 00:18:10.853896051,E4_Gsr,2024-06-24 09:42:42.496000051,0.008969292
1904-01-01 00:18:11.103896051,E4_Gsr,2024-06-24 09:42:42.746000051,0.00640663
1904-01-01 00:18:11.353896051,E4_Gsr,2024-06-24 09:42:42.996000051,0.007687961
1904-01-01 00:18:11.603896051,E4_Gsr,2024-06-24 09:42:43.246000051,0.008969292
1904-01-01 00:18:11.853896051,E4_Gsr,2024-06-24 09:42:43.496000051,0.01153195
1904-01-01 00:18:12.103896051,E4_Gsr,2024-06-24 09:42:43.746000051,0.00640663
1904-01-01 00:18:12.353896051,E4_Gsr,2024-06-24 09:42:43.996000051,0.00640663
1904-01-01 00:18:12.603896051,E4_Gsr,2024-06-24 09:42:44.246000051,0.00640663
1904-01-01 00:18:12.853896051,E4_Gsr,2024-06-24 09:42:44.496000051,0.00640663
1904-01-01 00:18:13.103896051,E4_Gsr,2024-06-24 09:42:44.746000051,0.008969292
1904-01-01 00:18:13.353896051,E4_Gsr,2024-06-24 09:42:44.996000051,0.008969292
1904-01-01 00:18:13.603896051,E4_Gsr,2024-06-24 09:42:45.246000051,0.008969292
1904-01-01 00:18:13.853896051,E4_Gsr,2024-06-24 09:42:45.496000051,0.00640663
1904-01-01 00:18:14.103896051,E4_Gsr,2024-06-24 09:42:45.746000051,0.01025062
1904-01-01 00:18:14.353896051,E4_Gsr,2024-06-24 09:42:45.996000051,0.00640663
1904-01-01 00:18:14.603896051,E4_Gsr,2024-06-24 09:42:46.246000051,0.008969292
1904-01-01 00:18:14.853896051,E4_Gsr,2024-06-24 09:42:46.496000051,0.008969292
1904-01-01 00:18:15.103896051,E4_Gsr,2024-06-24 09:42:46.746000051,0.008969292
1904-01-01 00:18:15.353896051,E4_Gsr,2024-06-24 09:42:46.996000051,0.00640663
1904-01-01 00:18:15.603896051,E4_Gsr,2024-06-24 09:42:47.246000051,0.00640663
