Seconds,Stream,E4_Seconds,Value
1904-01-01 00:17:51.201265961,E4_Ibi,2024-06-24 09:42:22.843369961,1.000046
1904-01-01 00:17:52.201306015,E4_Ibi,2024-06-24 09:42:23.843410015,1.000046
1904-01-01 00:17:53.154476076,E4_Ibi,2024-06-24 09:42:24.796580076,0.9531691
1904-01-01 00:17:54.060765892,E4_Ibi,2024-06-24 09:42:25.702869892,0.9062919
1904-01-01 00:17:54.888935952,E4_Ibi,2024-06-24 09:42:26.531039952,0.8281634
1904-01-01 00:17:55.779596001,E4_Ibi,2024-06-24 09:42:27.421700001,0.8906662
1904-01-01 00:17:56.732766062,E4_Ibi,2024-06-24 09:42:28.374870062,0.9531691
1904-01-01 00:17:57.732815891,E4_Ibi,2024-06-24 09:42:29.374919891,1.000046
1904-01-01 00:17:58.748485952,E4_Ibi,2024-06-24 09:42:30.390589952,1.015672
1904-01-01 00:17:59.779786020,E4_Ibi,2024-06-24 09:42:31.421890020,1.031298
1904-01-01 00:18:00.701706081,E4_Ibi,2024-06-24 09:42:32.343810081,0.9219177
1904-01-01 00:18:01.701745897,E4_Ibi,2024-06-24 09:42:33.343849897,1.000046
1904-01-01 00:18:02.670545965,E4_Ibi,2024-06-24 09:42:34.312649965,0.9687948
1904-01-01 00:18:03.576836020,E4_Ibi,2024-06-24 09:42:35.218940020,0.9062919
1904-01-01 00:18:04.498756081,E4_Ibi,2024-06-24 09:42:36.140860081,0.9219177
1904-01-01 00:18:05.451925903,E4_Ibi,2024-06-24 09:42:37.094029903,0.9531693
1904-01-01 00:18:06.420715957,E4_Ibi,2024-06-24 09:42:38.062819957,0.9687948
1904-01-01 00:18:07.358256012,E4_Ibi,2024-06-24 09:42:39.000360012,0.9375434
1904-01-01 00:18:08.358306080,E4_Ibi,2024-06-24 09:42:40.000410080,1.000046
1904-01-01 00:18:09.389605909,E4_Ibi,2024-06-24 09:42:41.031709909,1.031298
1904-01-01 00:18:10.327145964,E4_Ibi,2024-06-24 09:42:41.969249964,0.9375434
1904-01-01 00:18:11.295946032,E4_Ibi,2024-06-24 09:42:42.938050032,0.9687948
1904-01-01 00:18:12.280366093,E4_Ibi,2024-06-24 09:42:43.922470093,0.9844205
1904-01-01 00:18:13.217905909,E4_Ibi,2024-06-24 09:42:44.860009909,0.9375434
1904-01-01 00:18:14.155445963,E4_Ibi,2024-06-24 09:42:45.797549963,0.9375434
1904-01-01 00:18:15.139866024,E4_Ibi,2024-06-24 09:42:46.781970024,0.9844205
1904-01-01 00:18:16.139916092,E4_Ibi,2024-06-24 09:42:47.782020092,1.000046
1904-01-01 00:18:17.108715921,E4_Ibi,2024-06-24 09:42:48.750819921,0.9687948
1904-01-01 00:18:18.140005976,E4_Ibi,2024-06-24 09:42:49.782109976,1.031298
1904-01-01 00:18:19.171306044,E4_Ibi,2024-06-24 09:42:50.813410044,1.031298
1904-01-01 00:18:20.155726105,E4_Ibi,2024-06-24 09:42:51.797830105,0.9844205
1904-01-01 00:18:21.155775934,E4_Ibi,2024-06-24 09:42:52.797879934,1.000046
1904-01-01 00:18:22.171445995,E4_Ibi,2024-06-24 09:42:53.813549995,1.015672
1904-01-01 00:18:23.202746063,E4_Ibi,2024-06-24 09:42:54.844850063,1.031298
1904-01-01 00:18:24.155915886,E4_Ibi,2024-06-24 09:42:55.798019886,0.9531691
1904-01-01 00:18:25.140335947,E4_Ibi,2024-06-24 09:42:56.782439947,0.9844205
1904-01-01 00:18:26.124756008,E4_Ibi,2024-06-24 09:42:57.766860008,0.9844205
1904-01-01 00:18:27.140426069,E4_Ibi,2024-06-24 09:42:58.782530069,1.015672
1904-01-01 00:18:28.124845892,E4_Ibi,2024-06-24 09:42:59.766949892,0.9844205
1904-01-01 00:18:29.171765953,E4_Ibi,2024-06-24 09:43:00.813869953,1.046923
1904-01-01 00:18:30.249946028,E4_Ibi,2024-06-24 09:43:01.892050028,1.078175
1904-01-01 00:18:31.265616089,E4_Ibi,2024-06-24 09:43:02.907720089,1.015672
1904-01-01 00:18:32.281285912,E4_Ibi,2024-06-24 09:43:03.923389912,1.015672
1904-01-01 00:18:33.296965986,E4_Ibi,2024-06-24 09:43:04.939069986,1.015672
1904-01-01 00:18:34.281386047,E4_Ibi,2024-06-24 09:43:05.923490047,0.9844205
1904-01-01 00:18:35.234556109,E4_Ibi,2024-06-24 09:43:06.876660109,0.9531691
1904-01-01 00:18:36.250225931,E4_Ibi,2024-06-24 09:43:07.892329931,1.015672
1904-01-01 00:18:37.375275999,E4_Ibi,2024-06-24 09:43:09.017379999,1.125052
1904-01-01 00:18:38.422196060,E4_Ibi,2024-06-24 09:43:10.064300060,1.046923
1904-01-01 00:18:39.453495890,E4_Ibi,2024-06-24 09:43:11.095599890,1.031298
1904-01-01 00:18:40.469165951,E4_Ibi,2024-06-24 09:43:12.111269951,1.015672
1904-01-01 00:18:41.437966019,E4_Ibi,2024-06-24 09:43:13.080070019,0.9687948
1904-01-01 00:18:42.422386080,E4_Ibi,2024-06-24 09:43:14.064490080,0.9844205
1904-01-01 00:18:43.375555903,E4_Ibi,2024-06-24 09:43:15.017659903,0.9531691
1904-01-01 00:18:44.375595957,E4_Ibi,2024-06-24 09:43:16.017699957,1.000046
1904-01-01 00:18:45.328766018,E4_Ibi,2024-06-24 09:43:16.970870018,0.9531691
1904-01-01 00:18:46.297566086,E4_Ibi,2024-06-24 09:43:17.939670086,0.9687948
1904-01-01 00:18:47.297605902,E4_Ibi,2024-06-24 09:43:18.939709902,1.000046
1904-01-01 00:18:48.266405970,E4_Ibi,2024-06-24 09:43:19.908509970,0.9687948
