Seconds,Stream,E4_Seconds,Value
1904-01-01 00:17:55.260116011,E4_Temperature,2024-06-24 09:42:26.902220011,31.93
1904-01-01 00:17:55.510126024,E4_Temperature,2024-06-24 09:42:27.152230024,31.93
1904-01-01 00:17:55.760136038,E4_Temperature,2024-06-24 09:42:27.402240038,31.93
1904-01-01 00:17:56.010146051,E4_Temperature,2024-06-24 09:42:27.652250051,31.93
1904-01-01 00:17:56.260156065,E4_Temperature,2024-06-24 09:42:27.902260065,31.91
1904-01-01 00:17:56.510166079,E4_Temperature,2024-06-24 09:42:28.152270079,31.91
1904-01-01 00:17:56.760186106,E4_Temperature,2024-06-24 09:42:28.402290106,31.91
1904-01-01 00:17:57.010195881,E4_Temperature,2024-06-24 09:42:28.652299881,31.91
1904-01-01 00:17:57.260205895,E4_Temperature,2024-06-24 09:42:28.902309895,31.93
1904-01-01 00:17:57.510215908,E4_Temperature,2024-06-24 09:42:29.152319908,31.93
1904-01-01 00:17:57.760225922,E4_Temperature,2024-06-24 09:42:29.402329922,31.93
1904-01-01 00:17:58.010235935,E4_Temperature,2024-06-24 09:42:29.652339935,31.93
1904-01-01 00:17:58.260255962,E4_Temperature,2024-06-24 09:42:29.902359962,31.93
1904-01-01 00:17:58.510265976,E4_Temperature,2024-06-24 09:42:30.152369976,31.93
1904-01-01 00:17:58.760275990,E4_Temperature,2024-06-24 09:42:30.402379990,31.93
1904-01-01 00:17:59.010286003,E4_Temperature,2024-06-24 09:42:30.652390003,31.93
1904-01-01 00:17:59.260296017,E4_Temperature,2024-06-24 09:42:30.902400017,31.91
1904-01-01 00:17:59.510306030,E4_Temperature,2024-06-24 09:42:31.152410030,31.91
1904-01-01 00:17:59.760326058,E4_Temperature,2024-06-24 09:42:31.402430058,31.91
1904-01-01 00:18:00.010336071,E4_Temperature,2024-06-24 09:42:31.652440071,31.91
1904-01-01 00:18:00.260346085,E4_Temperature,2024-06-24 09:42:31.902450085,31.89
1904-01-01 00:18:00.510356098,E4_Temperature,2024-06-24 09:42:32.152460098,31.89
1904-01-01 00:18:00.760366112,E4_Temperature,2024-06-24 09:42:32.402470112,31.89
1904-01-01 00:18:01.010375887,E4_Temperature,2024-06-24 09:42:32.652479887,31.89
1904-01-01 00:18:01.260385901,E4_Temperature,2024-06-24 09:42:32.902489901,31.91
1904-01-01 00:18:01.510405928,E4_Temperature,2024-06-24 09:42:33.152509928,31.91
1904-01-01 00:18:01.760415941,E4_Temperature,2024-06-24 09:42:33.402519941,31.91
1904-01-01 00:18:02.010425955,E4_Temperature,2024-06-24 09:42:33.652529955,31.91
1904-01-01 00:18:02.260435968,E4_Temperature,2024-06-24 09:42:33.902539968,31.89
1904-01-01 00:18:02.510445982,E4_Temperature,2024-06-24 09:42:34.152549982,31.89
1904-01-01 00:18:02.760455996,E4_Temperature,2024-06-24 09:42:34.402559996,31.89
1904-01-01 00:18:03.010476023,E4_Temperature,2024-06-24 09:42:34.652580023,31.89
1904-01-01 00:18:03.260486036,E4_Temperature,2024-06-24 09:42:34.902590036,31.91
1904-01-01 00:18:03.510496050,E4_Temperature,2024-06-24 09:42:35.152600050,31.91
1904-01-01 00:18:03.760506064,E4_Temperature,2024-06-24 09:42:35.402610064,31.91
1904-01-01 00:18:04.010516077,E4_Temperature,2024-06-24 09:42:35.652620077,31.91
1904-01-01 00:18:04.260526091,E4_Temperature,2024-06-24 09:42:35.902630091,31.89
1904-01-01 00:18:04.510546118,E4_Temperature,2024-06-24 09:42:36.152650118,31.89
1904-01-01 00:18:04.760555893,E4_Temperature,2024-06-24 09:42:36.402659893,31.89
1904-01-01 00:18:05.010565907,E4_Temperature,2024-06-24 09:42:36.652669907,31.89
1904-01-01 00:18:05.260575920,E4_Temperature,2024-06-24 09:42:36.902679920,31.89
1904-01-01 00:18:05.510585934,E4_Temperature,2024-06-24 09:42:37.152689934,31.89
1904-01-01 00:18:05.760595947,E4_Temperature,2024-06-24 09:42:37.402699947,31.89
1904-01-01 00:18:06.010605961,E4_Temperature,2024-06-24 09:42:37.652709961,31.89
1904-01-01 00:18:06.260625988,E4_Temperature,2024-06-24 09:42:37.902729988,31.89
1904-01-01 00:18:06.510636002,E4_Temperature,2024-06-24 09:42:38.152740002,31.89
1904-01-01 00:18:06.760646015,E4_Temperature,2024-06-24 09:42:38.402750015,31.89
1904-01-01 00:18:07.010656029,E4_Temperature,2024-06-24 09:42:38.652760029,31.89
1904-01-01 00:18:07.260666042,E4_Temperature,2024-06-24 09:42:38.902770042,31.87
1904-01-01 00:18:07.510676056,E4_Temperature,2024-06-24 09:42:39.152780056,31.87
1904-01-01 00:18:07.760696083,E4_Temperature,2024-06-24 09:42:39.402800083,31.87
1904-01-01 00:18:08.010706097,E4_Temperature,2024-06-24 09:42:39.652810097,31.87
1904-01-01 00:18:08.260716110,E4_Temperature,2024-06-24 09:42:39.902820110,31.89
1904-01-01 00:18:08.510725885,E4_Temperature,2024-06-24 09:42:40.152829885,31.89
1904-01-01 00:18:08.760735899,E4_Temperature,2024-06-24 09:42:40.402839899,31.89
1904-01-01 00:18:09.010745913,E4_Temperature,2024-06-24 09:42:40.652849913,31.89
1904-01-01 00:18:09.260755926,E4_Temperature,2024-06-24 09:42:40.902859926,31.87
1904-01-01 00:18:09.510775953,E4_Temperature,2024-06-24 09:42:41.152879953,31.87
1904-01-01 00:18:09.760785967,E4_Temperature,2024-06-24 09:42:41.402889967,31.87
1904-01-01 00:18:10.010795981,E4_Temperature,2024-06-24 09:42:41.652899981,31.87
1904-01-01 00:18:10.260805994,E4_Temperature,2024-06-24 09:42:41.902909994,31.87
1904-01-01 00:18:10.510816008,E4_Temperature,2024-06-24 09:42:42.152920008,31.87
1904-01-01 00:18:10.760826021,E4_Temperature,2024-06-24 09:42:42.402930021,31.87
1904-01-01 00:18:11.010846048,E4_Temperature,2024-06-24 09:42:42.652950048,31.87
1904-01-01 00:18:11.260856062,E4_Temperature,2024-06-24 09:42:42.902960062,31.89
1904-01-01 00:18:11.510866076,E4_Temperature,2024-06-24 09:42:43.152970076,31.89
1904-01-01 00:18:11.760876089,E4_Temperature,2024-06-24 09:42:43.402980089,31.89
1904-01-01 00:18:12.010886103,E4_Temperature,2024-06-24 09:42:43.652990103,31.89
1904-01-01 00:18:12.260896116,E4_Temperature,2024-06-24 09:42:43.903000116,31.87
1904-01-01 00:18:12.510915905,E4_Temperature,2024-06-24 09:42:44.153019905,31.87
1904-01-01 00:18:12.760925919,E4_Temperature,2024-06-24 09:42:44.403029919,31.87
1904-01-01 00:18:13.010935932,E4_Temperature,2024-06-24 09:42:44.653039932,31.87
1904-01-01 00:18:13.260945946,E4_Temperature,2024-06-24 09:42:44.903049946,31.83
1904-01-01 00:18:13.510955959,E4_Temperature,2024-06-24 09:42:45.153059959,31.83
1904-01-01 00:18:13.760965973,E4_Temperature,2024-06-24 09:42:45.403069973,31.83
1904-01-01 00:18:14.010975987,E4_Temperature,2024-06-24 09:42:45.653079987,31.83
1904-01-01 00:18:14.260996014,E4_Temperature,2024-06-24 09:42:45.903100014,31.87
1904-01-01 00:18:14.511006027,E4_Temperature,2024-06-24 09:42:46.153110027,31.87
1904-01-01 00:18:14.761016041,E4_Temperature,2024-06-24 09:42:46.403120041,31.87
1904-01-01 00:18:15.011026054,E4_Temperature,2024-06-24 09:42:46.653130054,31.87
1904-01-01 00:18:15.261036068,E4_Temperature,2024-06-24 09:42:46.903140068,31.87
1904-01-01 00:18:15.511046082,E4_Temperature,2024-06-24 09:42:47.153150082,31.87
1904-01-01 00:18:15.761066109,E4_Temperature,2024-06-24 09:42:47.403170109,31.87
1904-01-01 00:18:16.011075884,E4_Temperature,2024-06-24 09:42:47.653179884,31.87
