Seconds,Stream,E4_Seconds,Value
1904-01-01 00:12:37.003526963,E4_Ibi,2024-06-25 12:45:34.945899963,0.6094034
1904-01-01 00:12:37.612926997,E4_Ibi,2024-06-25 12:45:35.555299997,0.6094031
1904-01-01 00:12:38.206707038,E4_Ibi,2024-06-25 12:45:36.149080038,0.5937777
1904-01-01 00:12:38.784857072,E4_Ibi,2024-06-25 12:45:36.727230072,0.5781517
1904-01-01 00:12:39.394257106,E4_Ibi,2024-06-25 12:45:37.336630106,0.6094031
1904-01-01 00:12:39.956786908,E4_Ibi,2024-06-25 12:45:37.899159908,0.562526
1904-01-01 00:12:58.801406898,E4_Ibi,2024-06-25 12:45:56.743779898,0.6094031
1904-01-01 00:12:59.395186938,E4_Ibi,2024-06-25 12:45:57.337559938,0.5937774
1904-01-01 00:12:59.988966979,E4_Ibi,2024-06-25 12:45:57.931339979,0.5937777
1904-01-01 00:13:00.598367013,E4_Ibi,2024-06-25 12:45:58.540740013,0.6094031
1904-01-01 00:13:01.176517047,E4_Ibi,2024-06-25 12:45:59.118890047,0.5781517
1904-01-01 00:13:01.785917081,E4_Ibi,2024-06-25 12:45:59.728290081,0.6094034
1904-01-01 00:13:02.379696883,E4_Ibi,2024-06-25 12:46:00.322069883,0.5937774
1904-01-01 00:13:02.973476924,E4_Ibi,2024-06-25 12:46:00.915849924,0.5937774
1904-01-01 00:13:03.536006965,E4_Ibi,2024-06-25 12:46:01.478379965,0.5625262
1904-01-01 00:13:04.129776992,E4_Ibi,2024-06-25 12:46:02.072149992,0.5937774
1904-01-01 00:13:04.707927026,E4_Ibi,2024-06-25 12:46:02.650300026,0.5781517
1904-01-01 00:13:05.301707067,E4_Ibi,2024-06-25 12:46:03.244080067,0.5937777
1904-01-01 00:13:05.879857101,E4_Ibi,2024-06-25 12:46:03.822230101,0.5781517
1904-01-01 00:13:06.489266910,E4_Ibi,2024-06-25 12:46:04.431639910,0.6094031
1904-01-01 00:13:07.083036937,E4_Ibi,2024-06-25 12:46:05.025409937,0.5937777
1904-01-01 00:13:15.895947017,E4_Ibi,2024-06-25 12:46:13.838320017,0.6562805
1904-01-01 00:13:16.536607064,E4_Ibi,2024-06-25 12:46:14.478980064,0.6406546
1904-01-01 00:13:17.067877092,E4_Ibi,2024-06-25 12:46:15.010250092,0.5312746
1904-01-01 00:13:17.677286901,E4_Ibi,2024-06-25 12:46:15.619659901,0.6094034
1904-01-01 00:13:18.317936935,E4_Ibi,2024-06-25 12:46:16.260309935,0.6406546
1904-01-01 00:13:18.880466975,E4_Ibi,2024-06-25 12:46:16.822839975,0.562526
1904-01-01 00:13:19.458617009,E4_Ibi,2024-06-25 12:46:17.400990009,0.5781519
1904-01-01 00:13:20.036767043,E4_Ibi,2024-06-25 12:46:17.979140043,0.5781517
1904-01-01 00:13:20.568037070,E4_Ibi,2024-06-25 12:46:18.510410070,0.5312746
1904-01-01 00:13:21.083687104,E4_Ibi,2024-06-25 12:46:19.026060104,0.5156488
1904-01-01 00:13:21.708716907,E4_Ibi,2024-06-25 12:46:19.651089907,0.6250291
1904-01-01 00:13:22.364996947,E4_Ibi,2024-06-25 12:46:20.307369947,0.6562803
1904-01-01 00:13:22.958776988,E4_Ibi,2024-06-25 12:46:20.901149988,0.5937777
