,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
2,1904-01-01 00:13:02.592000000,6678.3008627,35001,32440,64.88
10,1904-01-01 00:14:11.536000000,6747.244804,35002,66911,133.822
11,1904-01-01 00:14:16.930976000,6752.6405168,35003,69608,139.216
17,1904-01-01 00:15:18.968000000,6814.6777875,35004,100626,201.252
18,1904-01-01 00:15:23.452000000,6819.1614999,35005,102867,205.734
29,1904-01-01 00:17:16.189984000,6931.8997408,35101,159234,318.468
35,1904-01-01 00:18:13.450976000,6989.1606039,35201,187863,375.726
38,1904-01-01 00:18:42.248992000,7017.9588095,35301,202262,404.524
83,1904-01-01 00:27:35.752000000,7551.461797199999,35102,469003,938.006
89,1904-01-01 00:28:30.589984000,7606.3033457,35202,496422,992.844
92,1904-01-01 00:28:58.800992000,7634.5115309,35302,510525,1021.05
121,1904-01-01 00:34:53.098976000,7988.8097666,35103,687668,1375.336
128,1904-01-01 00:35:57.089984000,8052.8032574,35203,719663,1439.326
130,1904-01-01 00:36:13.800992000,8069.5106771,35303,728016,1456.032
134,1904-01-01 00:36:40.066975999,8095.7816597,35006,741151,1482.302
