Seconds,Stream,E4_Seconds,AccX,AccY,AccZ
1904-01-01 00:12:27.200000011,E4_Acc,2024-06-24 11:34:00.141160011,-10.0,-63.0,11.0
1904-01-01 00:12:27.231250011,E4_Acc,2024-06-24 11:34:00.172410011,-10.0,-63.0,11.0
1904-01-01 00:12:27.262500011,E4_Acc,2024-06-24 11:34:00.203660011,-10.0,-63.0,11.0
1904-01-01 00:12:27.293760025,E4_Acc,2024-06-24 11:34:00.234920025,-8.0,-63.0,12.0
1904-01-01 00:12:27.325010024,E4_Acc,2024-06-24 11:34:00.266170024,-9.0,-64.0,11.0
1904-01-01 00:12:27.356260025,E4_Acc,2024-06-24 11:34:00.297420025,-9.0,-64.0,12.0
1904-01-01 00:12:27.387510025,E4_Acc,2024-06-24 11:34:00.328670025,-9.0,-63.0,12.0
1904-01-01 00:12:27.418760025,E4_Acc,2024-06-24 11:34:00.359920025,-6.0,-63.0,12.0
1904-01-01 00:12:27.450010025,E4_Acc,2024-06-24 11:34:00.391170025,-9.0,-63.0,11.0
1904-01-01 00:12:27.481260025,E4_Acc,2024-06-24 11:34:00.422420025,-7.0,-63.0,11.0
1904-01-01 00:12:27.512520038,E4_Acc,2024-06-24 11:34:00.453680038,-9.0,-63.0,12.0
1904-01-01 00:12:27.543770038,E4_Acc,2024-06-24 11:34:00.484930038,-10.0,-63.0,12.0
1904-01-01 00:12:27.575020038,E4_Acc,2024-06-24 11:34:00.516180038,-10.0,-63.0,12.0
1904-01-01 00:12:27.606270038,E4_Acc,2024-06-24 11:34:00.547430038,-9.0,-63.0,12.0
1904-01-01 00:12:27.637520038,E4_Acc,2024-06-24 11:34:00.578680038,-10.0,-63.0,12.0
1904-01-01 00:12:27.668770038,E4_Acc,2024-06-24 11:34:00.609930038,-9.0,-63.0,12.0
1904-01-01 00:12:27.700020038,E4_Acc,2024-06-24 11:34:00.641180038,-10.0,-63.0,12.0
1904-01-01 00:12:27.731280052,E4_Acc,2024-06-24 11:34:00.672440052,-9.0,-63.0,11.0
1904-01-01 00:12:27.762530052,E4_Acc,2024-06-24 11:34:00.703690052,-9.0,-63.0,12.0
1904-01-01 00:12:27.793780052,E4_Acc,2024-06-24 11:34:00.734940052,-9.0,-63.0,12.0
1904-01-01 00:12:27.825030052,E4_Acc,2024-06-24 11:34:00.766190052,-9.0,-63.0,12.0
1904-01-01 00:12:27.856280052,E4_Acc,2024-06-24 11:34:00.797440052,-8.0,-63.0,11.0
1904-01-01 00:12:27.887530052,E4_Acc,2024-06-24 11:34:00.828690052,-9.0,-63.0,11.0
1904-01-01 00:12:27.918780052,E4_Acc,2024-06-24 11:34:00.859940052,-10.0,-63.0,11.0
1904-01-01 00:12:27.950040066,E4_Acc,2024-06-24 11:34:00.891200066,-9.0,-63.0,12.0
1904-01-01 00:12:27.981290066,E4_Acc,2024-06-24 11:34:00.922450066,-9.0,-63.0,12.0
1904-01-01 00:12:28.012540066,E4_Acc,2024-06-24 11:34:00.953700066,-9.0,-63.0,11.0
1904-01-01 00:12:28.043790066,E4_Acc,2024-06-24 11:34:00.984950066,-9.0,-64.0,11.0
1904-01-01 00:12:28.075040066,E4_Acc,2024-06-24 11:34:01.016200066,-9.0,-63.0,12.0
1904-01-01 00:12:28.106290066,E4_Acc,2024-06-24 11:34:01.047450066,-10.0,-63.0,12.0
1904-01-01 00:12:28.137540066,E4_Acc,2024-06-24 11:34:01.078700066,-9.0,-63.0,12.0
1904-01-01 00:12:28.168800079,E4_Acc,2024-06-24 11:34:01.109960079,-9.0,-63.0,12.0
1904-01-01 00:12:28.200050079,E4_Acc,2024-06-24 11:34:01.141210079,-10.0,-63.0,11.0
