Seconds,Stream,E4_Seconds,Value
1904-01-01 00:20:20.047275088,E4_Ibi,2024-06-26 08:12:15.995500088,0.6250291
1904-01-01 00:20:20.656674883,E4_Ibi,2024-06-26 08:12:16.604899883,0.6094031
1904-01-01 00:20:21.281704924,E4_Ibi,2024-06-26 08:12:17.229929924,0.6250288
1904-01-01 00:20:21.937984965,E4_Ibi,2024-06-26 08:12:17.886209965,0.6562805
1904-01-01 00:20:22.500504992,E4_Ibi,2024-06-26 08:12:18.448729992,0.562526
1904-01-01 00:20:23.172415039,E4_Ibi,2024-06-26 08:12:19.120640039,0.6719062
1904-01-01 00:20:23.734945080,E4_Ibi,2024-06-26 08:12:19.683170080,0.562526
1904-01-01 00:20:24.344345114,E4_Ibi,2024-06-26 08:12:20.292570114,0.6094031
1904-01-01 00:20:24.969374916,E4_Ibi,2024-06-26 08:12:20.917599916,0.6250291
1904-01-01 00:20:25.594404957,E4_Ibi,2024-06-26 08:12:21.542629957,0.6250288
1904-01-01 00:20:35.610495112,E4_Ibi,2024-06-26 08:12:31.558720112,0.5937777
1904-01-01 00:20:36.204264901,E4_Ibi,2024-06-26 08:12:32.152489901,0.5937774
1904-01-01 00:20:36.876174948,E4_Ibi,2024-06-26 08:12:32.824399948,0.6719062
1904-01-01 00:20:37.485574982,E4_Ibi,2024-06-26 08:12:33.433799982,0.6094031
1904-01-01 00:20:38.094985030,E4_Ibi,2024-06-26 08:12:34.043210030,0.6094031
1904-01-01 00:20:38.720015070,E4_Ibi,2024-06-26 08:12:34.668240070,0.6250291
1904-01-01 00:20:39.329415104,E4_Ibi,2024-06-26 08:12:35.277640104,0.6094031
1904-01-01 00:20:39.985694907,E4_Ibi,2024-06-26 08:12:35.933919907,0.6562805
1904-01-01 00:20:40.610724947,E4_Ibi,2024-06-26 08:12:36.558949947,0.6250288
1904-01-01 00:20:41.173244975,E4_Ibi,2024-06-26 08:12:37.121469975,0.562526
1904-01-01 00:20:41.798275015,E4_Ibi,2024-06-26 08:12:37.746500015,0.6250291
1904-01-01 00:20:42.407685063,E4_Ibi,2024-06-26 08:12:38.355910063,0.6094031
1904-01-01 00:20:43.063965104,E4_Ibi,2024-06-26 08:12:39.012190104,0.6562805
1904-01-01 00:20:43.657734892,E4_Ibi,2024-06-26 08:12:39.605959892,0.5937774
1904-01-01 00:20:44.298394940,E4_Ibi,2024-06-26 08:12:40.246619940,0.6406546
1904-01-01 00:20:44.907794974,E4_Ibi,2024-06-26 08:12:40.856019974,0.6094034
1904-01-01 00:20:45.548455021,E4_Ibi,2024-06-26 08:12:41.496680021,0.6406546
1904-01-01 00:20:46.235985062,E4_Ibi,2024-06-26 08:12:42.184210062,0.6875319
1904-01-01 00:20:46.829765103,E4_Ibi,2024-06-26 08:12:42.777990103,0.5937774
1904-01-01 00:20:47.454794905,E4_Ibi,2024-06-26 08:12:43.403019905,0.6250291
1904-01-01 00:20:48.095444939,E4_Ibi,2024-06-26 08:12:44.043669939,0.6406546
1904-01-01 00:20:48.720474980,E4_Ibi,2024-06-26 08:12:44.668699980,0.6250288
1904-01-01 00:20:49.345505021,E4_Ibi,2024-06-26 08:12:45.293730021,0.6250291
1904-01-01 00:20:49.986155054,E4_Ibi,2024-06-26 08:12:45.934380054,0.6406546
1904-01-01 00:20:50.658065102,E4_Ibi,2024-06-26 08:12:46.606290102,0.6719062
1904-01-01 00:20:51.376844904,E4_Ibi,2024-06-26 08:12:47.325069904,0.7187831
1904-01-01 00:20:52.064374945,E4_Ibi,2024-06-26 08:12:48.012599945,0.6875319
1904-01-01 00:20:52.767534993,E4_Ibi,2024-06-26 08:12:48.715759993,0.7031577
1904-01-01 00:20:53.470695040,E4_Ibi,2024-06-26 08:12:49.418920040,0.7031574
1904-01-01 00:20:54.189475081,E4_Ibi,2024-06-26 08:12:50.137700081,0.7187833
1904-01-01 00:20:54.830134890,E4_Ibi,2024-06-26 08:12:50.778359890,0.6406546
1904-01-01 00:20:55.517664931,E4_Ibi,2024-06-26 08:12:51.465889931,0.6875319
1904-01-01 00:20:56.205194971,E4_Ibi,2024-06-26 08:12:52.153419971,0.6875317
1904-01-01 00:20:56.877105019,E4_Ibi,2024-06-26 08:12:52.825330019,0.6719062
1904-01-01 00:20:57.517755053,E4_Ibi,2024-06-26 08:12:53.465980053,0.6406546
1904-01-01 00:20:58.174035094,E4_Ibi,2024-06-26 08:12:54.122260094,0.6562805
1904-01-01 00:20:58.814694903,E4_Ibi,2024-06-26 08:12:54.762919903,0.6406546
1904-01-01 00:20:59.486594937,E4_Ibi,2024-06-26 08:12:55.434819937,0.6719062
1904-01-01 00:21:00.158504984,E4_Ibi,2024-06-26 08:12:56.106729984,0.671906
1904-01-01 00:21:00.783535025,E4_Ibi,2024-06-26 08:12:56.731760025,0.6250291
1904-01-01 00:21:01.439815066,E4_Ibi,2024-06-26 08:12:57.388040066,0.6562803
1904-01-01 00:21:02.080465100,E4_Ibi,2024-06-26 08:12:58.028690100,0.6406548
1904-01-01 00:21:02.736744902,E4_Ibi,2024-06-26 08:12:58.684969902,0.6562803
1904-01-01 00:21:03.377404950,E4_Ibi,2024-06-26 08:12:59.325629950,0.6406548
1904-01-01 00:21:04.033684990,E4_Ibi,2024-06-26 08:12:59.981909990,0.6562803
1904-01-01 00:21:04.705585024,E4_Ibi,2024-06-26 08:13:00.653810024,0.6719062
1904-01-01 00:21:05.393125079,E4_Ibi,2024-06-26 08:13:01.341350079,0.6875317
1904-01-01 00:21:06.080654881,E4_Ibi,2024-06-26 08:13:02.028879881,0.6875319
1904-01-01 00:21:06.721304915,E4_Ibi,2024-06-26 08:13:02.669529915,0.6406546
1904-01-01 00:21:07.393214962,E4_Ibi,2024-06-26 08:13:03.341439962,0.6719062
1904-01-01 00:21:08.033864996,E4_Ibi,2024-06-26 08:13:03.982089996,0.6406546
1904-01-01 00:21:08.674525044,E4_Ibi,2024-06-26 08:13:04.622750044,0.6406548
1904-01-01 00:21:09.315175077,E4_Ibi,2024-06-26 08:13:05.263400077,0.6406546
1904-01-01 00:21:09.924584887,E4_Ibi,2024-06-26 08:13:05.872809887,0.6094031
1904-01-01 00:21:10.549604914,E4_Ibi,2024-06-26 08:13:06.497829914,0.6250291
1904-01-01 00:21:11.205884955,E4_Ibi,2024-06-26 08:13:07.154109955,0.6562803
1904-01-01 00:21:11.893425009,E4_Ibi,2024-06-26 08:13:07.841650009,0.6875319
1904-01-01 00:21:12.565325042,E4_Ibi,2024-06-26 08:13:08.513550042,0.671906
