Seconds,Stream,E4_Seconds,AccX,AccY,AccZ
1904-01-01 00:20:40.389984955,E4_Acc,2024-06-26 09:27:56.061939955,-64.0,0.0,9.0
1904-01-01 00:20:40.421234955,E4_Acc,2024-06-26 09:27:56.093189955,-64.0,0.0,8.0
1904-01-01 00:20:40.452484955,E4_Acc,2024-06-26 09:27:56.124439955,-64.0,0.0,7.0
1904-01-01 00:20:40.483734955,E4_Acc,2024-06-26 09:27:56.155689955,-64.0,0.0,8.0
1904-01-01 00:20:40.514984955,E4_Acc,2024-06-26 09:27:56.186939955,-63.0,1.0,8.0
1904-01-01 00:20:40.546234955,E4_Acc,2024-06-26 09:27:56.218189955,-64.0,0.0,8.0
1904-01-01 00:20:40.577494968,E4_Acc,2024-06-26 09:27:56.249449968,-64.0,0.0,8.0
1904-01-01 00:20:40.608744968,E4_Acc,2024-06-26 09:27:56.280699968,-63.0,1.0,8.0
1904-01-01 00:20:40.639994968,E4_Acc,2024-06-26 09:27:56.311949968,-64.0,1.0,7.0
1904-01-01 00:20:40.671244968,E4_Acc,2024-06-26 09:27:56.343199968,-64.0,1.0,8.0
1904-01-01 00:20:40.702494968,E4_Acc,2024-06-26 09:27:56.374449968,-64.0,1.0,8.0
1904-01-01 00:20:40.733744968,E4_Acc,2024-06-26 09:27:56.405699968,-63.0,0.0,9.0
1904-01-01 00:20:40.764994968,E4_Acc,2024-06-26 09:27:56.436949968,-65.0,0.0,8.0
1904-01-01 00:20:40.796254982,E4_Acc,2024-06-26 09:27:56.468209982,-64.0,0.0,8.0
1904-01-01 00:20:40.827504982,E4_Acc,2024-06-26 09:27:56.499459982,-63.0,0.0,9.0
1904-01-01 00:20:40.858754981,E4_Acc,2024-06-26 09:27:56.530709981,-64.0,1.0,8.0
1904-01-01 00:20:40.890004982,E4_Acc,2024-06-26 09:27:56.561959982,-64.0,1.0,7.0
1904-01-01 00:20:40.921254982,E4_Acc,2024-06-26 09:27:56.593209982,-64.0,1.0,7.0
1904-01-01 00:20:40.952504982,E4_Acc,2024-06-26 09:27:56.624459982,-63.0,0.0,8.0
1904-01-01 00:20:40.983754982,E4_Acc,2024-06-26 09:27:56.655709982,-64.0,0.0,8.0
1904-01-01 00:20:41.015014995,E4_Acc,2024-06-26 09:27:56.686969995,-64.0,0.0,9.0
1904-01-01 00:20:41.046264995,E4_Acc,2024-06-26 09:27:56.718219995,-64.0,0.0,8.0
1904-01-01 00:20:41.077514995,E4_Acc,2024-06-26 09:27:56.749469995,-64.0,0.0,7.0
1904-01-01 00:20:41.108764995,E4_Acc,2024-06-26 09:27:56.780719995,-64.0,0.0,8.0
1904-01-01 00:20:41.140014995,E4_Acc,2024-06-26 09:27:56.811969995,-65.0,0.0,8.0
1904-01-01 00:20:41.171264995,E4_Acc,2024-06-26 09:27:56.843219995,-69.0,-1.0,4.0
1904-01-01 00:20:41.202525009,E4_Acc,2024-06-26 09:27:56.874480009,-74.0,1.0,0.0
1904-01-01 00:20:41.233775009,E4_Acc,2024-06-26 09:27:56.905730009,-79.0,2.0,1.0
1904-01-01 00:20:41.265025009,E4_Acc,2024-06-26 09:27:56.936980009,-70.0,3.0,10.0
1904-01-01 00:20:41.296275009,E4_Acc,2024-06-26 09:27:56.968230009,-63.0,7.0,20.0
1904-01-01 00:20:41.327525009,E4_Acc,2024-06-26 09:27:56.999480009,-61.0,10.0,21.0
1904-01-01 00:20:41.358775009,E4_Acc,2024-06-26 09:27:57.030730009,-58.0,12.0,22.0
1904-01-01 00:20:41.390025009,E4_Acc,2024-06-26 09:27:57.061980009,-58.0,12.0,21.0
1904-01-01 00:20:41.421285023,E4_Acc,2024-06-26 09:27:57.093240023,-49.0,13.0,24.0
1904-01-01 00:20:41.452535023,E4_Acc,2024-06-26 09:27:57.124490023,-49.0,14.0,22.0
1904-01-01 00:20:41.483785023,E4_Acc,2024-06-26 09:27:57.155740023,-49.0,15.0,23.0
1904-01-01 00:20:41.515035023,E4_Acc,2024-06-26 09:27:57.186990023,-42.0,14.0,28.0
1904-01-01 00:20:41.546285023,E4_Acc,2024-06-26 09:27:57.218240023,-40.0,14.0,28.0
1904-01-01 00:20:41.577535023,E4_Acc,2024-06-26 09:27:57.249490023,-47.0,12.0,31.0
1904-01-01 00:20:41.608785023,E4_Acc,2024-06-26 09:27:57.280740023,-56.0,12.0,35.0
1904-01-01 00:20:41.640045036,E4_Acc,2024-06-26 09:27:57.312000036,-53.0,12.0,35.0
1904-01-01 00:20:41.671295036,E4_Acc,2024-06-26 09:27:57.343250036,-52.0,11.0,39.0
1904-01-01 00:20:41.702545036,E4_Acc,2024-06-26 09:27:57.374500036,-56.0,11.0,39.0
1904-01-01 00:20:41.733795036,E4_Acc,2024-06-26 09:27:57.405750036,-58.0,11.0,35.0
1904-01-01 00:20:41.765045036,E4_Acc,2024-06-26 09:27:57.437000036,-56.0,11.0,33.0
1904-01-01 00:20:41.796295036,E4_Acc,2024-06-26 09:27:57.468250036,-54.0,13.0,34.0
1904-01-01 00:20:41.827545036,E4_Acc,2024-06-26 09:27:57.499500036,-55.0,13.0,31.0
1904-01-01 00:20:41.858805050,E4_Acc,2024-06-26 09:27:57.530760050,-55.0,14.0,31.0
1904-01-01 00:20:41.890055050,E4_Acc,2024-06-26 09:27:57.562010050,-55.0,14.0,32.0
1904-01-01 00:20:41.921305050,E4_Acc,2024-06-26 09:27:57.593260050,-54.0,13.0,31.0
