Seconds,Stream,E4_Seconds,Value
1904-01-01 00:20:39.667044987,E4_Gsr,2024-06-26 09:27:55.338999987,0.01025129
1904-01-01 00:20:39.917044987,E4_Gsr,2024-06-26 09:27:55.588999987,0.007688477
1904-01-01 00:20:40.167044987,E4_Gsr,2024-06-26 09:27:55.838999987,0.003844253
1904-01-01 00:20:40.417044987,E4_Gsr,2024-06-26 09:27:56.088999987,0.005125661
1904-01-01 00:20:40.667044987,E4_Gsr,2024-06-26 09:27:56.338999987,0.005125661
1904-01-01 00:20:40.917044987,E4_Gsr,2024-06-26 09:27:56.588999987,0.007688477
1904-01-01 00:20:41.167044987,E4_Gsr,2024-06-26 09:27:56.838999987,0.006407069
1904-01-01 00:20:41.417044987,E4_Gsr,2024-06-26 09:27:57.088999987,0.005125661
1904-01-01 00:20:41.667044987,E4_Gsr,2024-06-26 09:27:57.338999987,0.005125661
1904-01-01 00:20:41.917044987,E4_Gsr,2024-06-26 09:27:57.588999987,0.007688477
1904-01-01 00:20:42.167044987,E4_Gsr,2024-06-26 09:27:57.838999987,0.007688477
1904-01-01 00:20:42.417044987,E4_Gsr,2024-06-26 09:27:58.088999987,0.003844253
1904-01-01 00:20:42.667044987,E4_Gsr,2024-06-26 09:27:58.338999987,0.003844253
1904-01-01 00:20:42.917044987,E4_Gsr,2024-06-26 09:27:58.588999987,0.005125661
1904-01-01 00:20:43.167044987,E4_Gsr,2024-06-26 09:27:58.838999987,0.006407069
1904-01-01 00:20:43.417044987,E4_Gsr,2024-06-26 09:27:59.088999987,0.006407069
1904-01-01 00:20:43.667044987,E4_Gsr,2024-06-26 09:27:59.338999987,0.002562844
1904-01-01 00:20:43.917044987,E4_Gsr,2024-06-26 09:27:59.588999987,0.003844253
1904-01-01 00:20:44.167044987,E4_Gsr,2024-06-26 09:27:59.838999987,0.006407069
1904-01-01 00:20:44.417044987,E4_Gsr,2024-06-26 09:28:00.088999987,0.006407069
1904-01-01 00:20:44.667044987,E4_Gsr,2024-06-26 09:28:00.338999987,0.008969885
1904-01-01 00:20:44.917044987,E4_Gsr,2024-06-26 09:28:00.588999987,0.005125661
1904-01-01 00:20:45.167044987,E4_Gsr,2024-06-26 09:28:00.838999987,0.005125661
1904-01-01 00:20:45.417044987,E4_Gsr,2024-06-26 09:28:01.088999987,0.006407069
1904-01-01 00:20:45.667044987,E4_Gsr,2024-06-26 09:28:01.338999987,0.006407069
1904-01-01 00:20:45.917044987,E4_Gsr,2024-06-26 09:28:01.588999987,0.006407069
1904-01-01 00:20:46.167044987,E4_Gsr,2024-06-26 09:28:01.838999987,0.003844253
1904-01-01 00:20:46.417044987,E4_Gsr,2024-06-26 09:28:02.088999987,0.003844253
1904-01-01 00:20:46.667044987,E4_Gsr,2024-06-26 09:28:02.338999987,0.03587946
1904-01-01 00:20:46.917044987,E4_Gsr,2024-06-26 09:28:02.588999987,0.007688477
1904-01-01 00:20:47.167044987,E4_Gsr,2024-06-26 09:28:02.838999987,0.007688477
1904-01-01 00:20:47.417044987,E4_Gsr,2024-06-26 09:28:03.088999987,0.003844253
1904-01-01 00:20:47.667044987,E4_Gsr,2024-06-26 09:28:03.338999987,0.003844253
1904-01-01 00:20:47.917044987,E4_Gsr,2024-06-26 09:28:03.588999987,0.006407069
1904-01-01 00:20:48.167044987,E4_Gsr,2024-06-26 09:28:03.838999987,0.005125661
1904-01-01 00:20:48.417044987,E4_Gsr,2024-06-26 09:28:04.088999987,0.007688477
1904-01-01 00:20:48.667044987,E4_Gsr,2024-06-26 09:28:04.338999987,0.003844253
1904-01-01 00:20:48.917044987,E4_Gsr,2024-06-26 09:28:04.588999987,0.005125661
1904-01-01 00:20:49.167044987,E4_Gsr,2024-06-26 09:28:04.838999987,0.007688477
1904-01-01 00:20:49.417044987,E4_Gsr,2024-06-26 09:28:05.088999987,0.007688477
1904-01-01 00:20:49.667044987,E4_Gsr,2024-06-26 09:28:05.338999987,0.005125661
1904-01-01 00:20:49.917044987,E4_Gsr,2024-06-26 09:28:05.588999987,0.003844253
1904-01-01 00:20:50.167044987,E4_Gsr,2024-06-26 09:28:05.838999987,0.005125661
1904-01-01 00:20:50.417044987,E4_Gsr,2024-06-26 09:28:06.088999987,0.005125661
1904-01-01 00:20:50.667044987,E4_Gsr,2024-06-26 09:28:06.338999987,0.008969885
1904-01-01 00:20:50.917044987,E4_Gsr,2024-06-26 09:28:06.588999987,0.003844253
1904-01-01 00:20:51.167044987,E4_Gsr,2024-06-26 09:28:06.838999987,0.003844253
1904-01-01 00:20:51.417044987,E4_Gsr,2024-06-26 09:28:07.088999987,0.006407069
1904-01-01 00:20:51.667044987,E4_Gsr,2024-06-26 09:28:07.338999987,0.007688477
1904-01-01 00:20:51.917044987,E4_Gsr,2024-06-26 09:28:07.588999987,0.006407069
1904-01-01 00:20:52.167044987,E4_Gsr,2024-06-26 09:28:07.838999987,0.003844253
1904-01-01 00:20:52.417044987,E4_Gsr,2024-06-26 09:28:08.088999987,0.005125661
1904-01-01 00:20:52.667044987,E4_Gsr,2024-06-26 09:28:08.338999987,0.006407069
1904-01-01 00:20:52.917044987,E4_Gsr,2024-06-26 09:28:08.588999987,0.007688477
1904-01-01 00:20:53.167044987,E4_Gsr,2024-06-26 09:28:08.838999987,0.006407069
1904-01-01 00:20:53.417044987,E4_Gsr,2024-06-26 09:28:09.088999987,0.005125661
1904-01-01 00:20:53.667044987,E4_Gsr,2024-06-26 09:28:09.338999987,0.005125661
1904-01-01 00:20:53.917044987,E4_Gsr,2024-06-26 09:28:09.588999987,0.006407069
1904-01-01 00:20:54.167044987,E4_Gsr,2024-06-26 09:28:09.838999987,0.007688477
1904-01-01 00:20:54.417044987,E4_Gsr,2024-06-26 09:28:10.088999987,0.003844253
1904-01-01 00:20:54.667044987,E4_Gsr,2024-06-26 09:28:10.338999987,0.003844253
1904-01-01 00:20:54.917044987,E4_Gsr,2024-06-26 09:28:10.588999987,0.005125661
1904-01-01 00:20:55.167044987,E4_Gsr,2024-06-26 09:28:10.838999987,0.006407069
1904-01-01 00:20:55.417044987,E4_Gsr,2024-06-26 09:28:11.088999987,0.007688477
1904-01-01 00:20:55.667044987,E4_Gsr,2024-06-26 09:28:11.338999987,0.005125661
1904-01-01 00:20:55.917044987,E4_Gsr,2024-06-26 09:28:11.588999987,0.006407069
1904-01-01 00:20:56.167044987,E4_Gsr,2024-06-26 09:28:11.838999987,0.006407069
1904-01-01 00:20:56.417044987,E4_Gsr,2024-06-26 09:28:12.088999987,0.006407069
1904-01-01 00:20:56.667044987,E4_Gsr,2024-06-26 09:28:12.338999987,0.007688477
1904-01-01 00:20:56.917044987,E4_Gsr,2024-06-26 09:28:12.588999987,0.005125661
1904-01-01 00:20:57.167044987,E4_Gsr,2024-06-26 09:28:12.838999987,0.005125661
1904-01-01 00:20:57.417044987,E4_Gsr,2024-06-26 09:28:13.088999987,0.006407069
1904-01-01 00:20:57.667044987,E4_Gsr,2024-06-26 09:28:13.338999987,0.007688477
1904-01-01 00:20:57.917044987,E4_Gsr,2024-06-26 09:28:13.588999987,0.007688477
1904-01-01 00:20:58.167044987,E4_Gsr,2024-06-26 09:28:13.838999987,0.005125661
1904-01-01 00:20:58.417044987,E4_Gsr,2024-06-26 09:28:14.088999987,0.005125661
1904-01-01 00:20:58.667044987,E4_Gsr,2024-06-26 09:28:14.338999987,0.006407069
1904-01-01 00:20:58.917044987,E4_Gsr,2024-06-26 09:28:14.588999987,0.006407069
1904-01-01 00:20:59.167044987,E4_Gsr,2024-06-26 09:28:14.838999987,0.006407069
1904-01-01 00:20:59.417044987,E4_Gsr,2024-06-26 09:28:15.088999987,0.003844253
1904-01-01 00:20:59.667044987,E4_Gsr,2024-06-26 09:28:15.338999987,0.007688477
1904-01-01 00:20:59.917044987,E4_Gsr,2024-06-26 09:28:15.588999987,0.006407069
1904-01-01 00:21:00.167044987,E4_Gsr,2024-06-26 09:28:15.838999987,0.006407069
1904-01-01 00:21:00.417044987,E4_Gsr,2024-06-26 09:28:16.088999987,0.007688477
1904-01-01 00:21:00.667044987,E4_Gsr,2024-06-26 09:28:16.338999987,0.003844253
1904-01-01 00:21:00.917044987,E4_Gsr,2024-06-26 09:28:16.588999987,0.003844253
1904-01-01 00:21:01.167044987,E4_Gsr,2024-06-26 09:28:16.838999987,0.005125661
1904-01-01 00:21:01.417044987,E4_Gsr,2024-06-26 09:28:17.088999987,0.006407069
1904-01-01 00:21:01.667044987,E4_Gsr,2024-06-26 09:28:17.338999987,0.006407069
1904-01-01 00:21:01.917044987,E4_Gsr,2024-06-26 09:28:17.588999987,0.003844253
1904-01-01 00:21:02.167044987,E4_Gsr,2024-06-26 09:28:17.838999987,0.002562844
1904-01-01 00:21:02.417044987,E4_Gsr,2024-06-26 09:28:18.088999987,0.002562844
1904-01-01 00:21:02.667044987,E4_Gsr,2024-06-26 09:28:18.338999987,0.006407069
1904-01-01 00:21:02.917044987,E4_Gsr,2024-06-26 09:28:18.588999987,0.002562844
1904-01-01 00:21:03.167044987,E4_Gsr,2024-06-26 09:28:18.838999987,0.006407069
1904-01-01 00:21:03.417044987,E4_Gsr,2024-06-26 09:28:19.088999987,0.002562844
1904-01-01 00:21:03.667044987,E4_Gsr,2024-06-26 09:28:19.338999987,0.002562844
1904-01-01 00:21:03.917044987,E4_Gsr,2024-06-26 09:28:19.588999987,0.006407069
1904-01-01 00:21:04.167044987,E4_Gsr,2024-06-26 09:28:19.838999987,0.006407069
1904-01-01 00:21:04.417044987,E4_Gsr,2024-06-26 09:28:20.088999987,0.002562844
1904-01-01 00:21:04.667044987,E4_Gsr,2024-06-26 09:28:20.338999987,0.003844253
1904-01-01 00:21:04.917044987,E4_Gsr,2024-06-26 09:28:20.588999987,0.003844253
1904-01-01 00:21:05.167044987,E4_Gsr,2024-06-26 09:28:20.838999987,0.005125661
1904-01-01 00:21:05.417044987,E4_Gsr,2024-06-26 09:28:21.088999987,0.006407069
1904-01-01 00:21:05.667044987,E4_Gsr,2024-06-26 09:28:21.338999987,0.006407069
1904-01-01 00:21:05.917044987,E4_Gsr,2024-06-26 09:28:21.588999987,0.003844253
1904-01-01 00:21:06.167044987,E4_Gsr,2024-06-26 09:28:21.838999987,0.005125661
1904-01-01 00:21:06.417044987,E4_Gsr,2024-06-26 09:28:22.088999987,0.005125661
1904-01-01 00:21:06.667044987,E4_Gsr,2024-06-26 09:28:22.338999987,0.006407069
1904-01-01 00:21:06.917044987,E4_Gsr,2024-06-26 09:28:22.588999987,0.002562844
1904-01-01 00:21:07.167044987,E4_Gsr,2024-06-26 09:28:22.838999987,0.005125661
1904-01-01 00:21:07.417044987,E4_Gsr,2024-06-26 09:28:23.088999987,0.005125661
1904-01-01 00:21:07.667044987,E4_Gsr,2024-06-26 09:28:23.338999987,0.006407069
1904-01-01 00:21:07.917044987,E4_Gsr,2024-06-26 09:28:23.588999987,0.006407069
1904-01-01 00:21:08.167044987,E4_Gsr,2024-06-26 09:28:23.838999987,0.002562844
1904-01-01 00:21:08.417044987,E4_Gsr,2024-06-26 09:28:24.088999987,0.002562844
