Seconds,Stream,E4_Seconds,Value
1904-01-01 00:20:48.997734894,E4_Hr,2024-06-26 09:28:04.669689894,81.69836
1904-01-01 00:21:31.140304912,E4_Hr,2024-06-26 09:28:46.812259912,83.47439
1904-01-01 00:21:31.921594967,E4_Hr,2024-06-26 09:28:47.593549967,76.79646
1904-01-01 00:21:32.656005014,E4_Hr,2024-06-26 09:28:48.327960014,81.69833
1904-01-01 00:21:43.125234951,E4_Hr,2024-06-26 09:28:58.797189951,79.99628
1904-01-01 00:21:43.812764992,E4_Hr,2024-06-26 09:28:59.484719992,87.2687
1904-01-01 00:21:44.578435053,E4_Hr,2024-06-26 09:29:00.250390053,78.36371
1904-01-01 00:21:45.297215094,E4_Hr,2024-06-26 09:29:00.969170094,83.47439
1904-01-01 00:21:53.031945099,E4_Hr,2024-06-26 09:29:08.703900099,78.36371
1904-01-01 00:21:53.750724901,E4_Hr,2024-06-26 09:29:09.422679901,83.47439
1904-01-01 00:21:54.563264955,E4_Hr,2024-06-26 09:29:10.235219955,73.84273
1904-01-01 00:21:55.391435017,E4_Hr,2024-06-26 09:29:11.063390017,72.44949
1904-01-01 00:21:58.641584982,E4_Hr,2024-06-26 09:29:14.313539982,72.44947
1904-01-01 00:21:59.579125036,E4_Hr,2024-06-26 09:29:15.251080036,63.99704
1904-01-01 00:22:00.485415090,E4_Hr,2024-06-26 09:29:16.157370090,66.20383
1904-01-01 00:22:01.376084913,E4_Hr,2024-06-26 09:29:17.048039913,67.3653
1904-01-01 00:22:02.251124967,E4_Hr,2024-06-26 09:29:17.923079967,68.56825
1904-01-01 00:22:03.094915022,E4_Hr,2024-06-26 09:29:18.766870022,71.10782
1904-01-01 00:22:03.907455076,E4_Hr,2024-06-26 09:29:19.579410076,73.84273
1904-01-01 00:22:04.688735117,E4_Hr,2024-06-26 09:29:20.360690117,76.79646
1904-01-01 00:22:05.407514919,E4_Hr,2024-06-26 09:29:21.079469919,83.47439
1904-01-01 00:22:06.173184980,E4_Hr,2024-06-26 09:29:21.845139980,78.36371
1904-01-01 00:22:06.938845028,E4_Hr,2024-06-26 09:29:22.610800028,78.36371
1904-01-01 00:22:07.704505075,E4_Hr,2024-06-26 09:29:23.376460075,78.36374
1904-01-01 00:22:08.517035116,E4_Hr,2024-06-26 09:29:24.188990116,73.84273
1904-01-01 00:22:21.627024998,E4_Hr,2024-06-26 09:29:37.298979998,69.81495
1904-01-01 00:22:22.486435045,E4_Hr,2024-06-26 09:29:38.158390045,69.81495
1904-01-01 00:22:23.361475098,E4_Hr,2024-06-26 09:29:39.033430098,68.56825
1904-01-01 00:22:24.267764915,E4_Hr,2024-06-26 09:29:39.939719915,66.20383
1904-01-01 00:22:25.111554970,E4_Hr,2024-06-26 09:29:40.783509970,71.10782
1904-01-01 00:22:25.955345024,E4_Hr,2024-06-26 09:29:41.627300024,71.10782
1904-01-01 00:22:26.783505072,E4_Hr,2024-06-26 09:29:42.455460072,72.44949
1904-01-01 00:22:27.596044887,E4_Hr,2024-06-26 09:29:43.267999887,73.84273
1904-01-01 00:22:28.392954935,E4_Hr,2024-06-26 09:29:44.064909935,75.29063
1904-01-01 00:22:29.221124996,E4_Hr,2024-06-26 09:29:44.893079996,72.44947
1904-01-01 00:22:30.049285044,E4_Hr,2024-06-26 09:29:45.721240044,72.44947
1904-01-01 00:22:30.814945091,E4_Hr,2024-06-26 09:29:46.486900091,78.36374
1904-01-01 00:22:38.549675096,E4_Hr,2024-06-26 09:29:54.221630096,79.99628
1904-01-01 00:22:39.237214912,E4_Hr,2024-06-26 09:29:54.909169912,87.26867
1904-01-01 00:22:40.018494953,E4_Hr,2024-06-26 09:29:55.690449953,76.79646
1904-01-01 00:22:40.674774994,E4_Hr,2024-06-26 09:29:56.346729994,91.42432
1904-01-01 00:22:41.284185041,E4_Hr,2024-06-26 09:29:56.956140041,98.45699
1904-01-01 00:22:41.987335075,E4_Hr,2024-06-26 09:29:57.659290075,85.32937
1904-01-01 00:22:42.659244884,E4_Hr,2024-06-26 09:29:58.331199884,89.2982
1904-01-01 00:22:52.003424992,E4_Hr,2024-06-26 09:30:07.675379992,69.81495
1904-01-01 00:22:52.878465046,E4_Hr,2024-06-26 09:30:08.550420046,68.56825
1904-01-01 00:23:00.175685038,E4_Hr,2024-06-26 09:30:15.847640038,79.99628
1904-01-01 00:23:03.941485037,E4_Hr,2024-06-26 09:30:19.613440037,78.36374
1904-01-01 00:23:04.722765078,E4_Hr,2024-06-26 09:30:20.394720078,76.79644
1904-01-01 00:23:05.519674887,E4_Hr,2024-06-26 09:30:21.191629887,75.29063
1904-01-01 00:23:06.332214941,E4_Hr,2024-06-26 09:30:22.004169941,73.84273
1904-01-01 00:23:10.082384933,E4_Hr,2024-06-26 09:30:25.754339933,78.36371
1904-01-01 00:23:10.863674987,E4_Hr,2024-06-26 09:30:26.535629987,76.79644
1904-01-01 00:23:11.691835035,E4_Hr,2024-06-26 09:30:27.363790035,72.44947
1904-01-01 00:23:12.504375090,E4_Hr,2024-06-26 09:30:28.176330090,73.84273
1904-01-01 00:23:13.301284899,E4_Hr,2024-06-26 09:30:28.973239899,75.29065
1904-01-01 00:23:14.082574953,E4_Hr,2024-06-26 09:30:29.754529953,76.79644
1904-01-01 00:23:26.145634998,E4_Hr,2024-06-26 09:30:41.817589998,83.47441
1904-01-01 00:23:26.848795045,E4_Hr,2024-06-26 09:30:42.520750045,85.32937
1904-01-01 00:23:27.505075087,E4_Hr,2024-06-26 09:30:43.177030087,91.42432
1904-01-01 00:23:33.489724983,E4_Hr,2024-06-26 09:30:49.161679983,81.69833
1904-01-01 00:23:37.099264969,E4_Hr,2024-06-26 09:30:52.771219969,85.3294
1904-01-01 00:23:37.896175016,E4_Hr,2024-06-26 09:30:53.568130016,75.29063
1904-01-01 00:23:38.536835064,E4_Hr,2024-06-26 09:30:54.208790064,93.65421
1904-01-01 00:23:39.333745111,E4_Hr,2024-06-26 09:30:55.005700111,75.29063
1904-01-01 00:23:40.115034927,E4_Hr,2024-06-26 09:30:55.786989927,76.79644
1904-01-01 00:23:40.865064968,E4_Hr,2024-06-26 09:30:56.537019968,79.99628
1904-01-01 00:23:53.896915068,E4_Hr,2024-06-26 09:31:09.568870068,109.7092
1904-01-01 00:24:10.444564928,E4_Hr,2024-06-26 09:31:26.116519928,93.65418
1904-01-01 00:24:11.085214962,E4_Hr,2024-06-26 09:31:26.757169962,93.65421
1904-01-01 00:24:11.725864996,E4_Hr,2024-06-26 09:31:27.397819996,93.65421
1904-01-01 00:24:12.382155050,E4_Hr,2024-06-26 09:31:28.054110050,91.42432
1904-01-01 00:24:17.491764893,E4_Hr,2024-06-26 09:31:33.163719893,87.2687
1904-01-01 00:24:37.398934950,E4_Hr,2024-06-26 09:31:53.070889950,78.36374
1904-01-01 00:25:18.166444887,E4_Hr,2024-06-26 09:32:33.838399887,76.79644
1904-01-01 00:25:18.932104935,E4_Hr,2024-06-26 09:32:34.604059935,78.36374
1904-01-01 00:25:19.697764982,E4_Hr,2024-06-26 09:32:35.369719982,78.36371
1904-01-01 00:25:50.199185003,E4_Hr,2024-06-26 09:33:05.871140003,72.44947
1904-01-01 00:25:54.339995016,E4_Hr,2024-06-26 09:33:10.011950016,72.44947
1904-01-01 00:26:20.231824984,E4_Hr,2024-06-26 09:33:35.903779984,75.29063
1904-01-01 00:27:12.156104912,E4_Hr,2024-06-26 09:34:27.828059912,76.79644
1904-01-01 00:27:12.859254946,E4_Hr,2024-06-26 09:34:28.531209946,85.32937
1904-01-01 00:27:13.593664993,E4_Hr,2024-06-26 09:34:29.265619993,81.69836
1904-01-01 00:27:14.281195034,E4_Hr,2024-06-26 09:34:29.953150034,87.26867
1904-01-01 00:27:15.031235088,E4_Hr,2024-06-26 09:34:30.703190088,79.99628
1904-01-01 00:27:15.812524904,E4_Hr,2024-06-26 09:34:31.484479904,76.79646
1904-01-01 00:27:16.640684952,E4_Hr,2024-06-26 09:34:32.312639952,72.44947
1904-01-01 00:27:17.484475006,E4_Hr,2024-06-26 09:34:33.156430006,71.10782
1904-01-01 00:27:18.312635054,E4_Hr,2024-06-26 09:34:33.984590054,72.44947
1904-01-01 00:27:19.125175108,E4_Hr,2024-06-26 09:34:34.797130108,73.84273
1904-01-01 00:27:19.937714924,E4_Hr,2024-06-26 09:34:35.609669924,73.84273
1904-01-01 00:27:20.781504978,E4_Hr,2024-06-26 09:34:36.453459978,71.10783
1904-01-01 00:27:21.531535019,E4_Hr,2024-06-26 09:34:37.203490019,79.99628
1904-01-01 00:27:22.344075072,E4_Hr,2024-06-26 09:34:38.016030072,73.84273
1904-01-01 00:27:23.078484882,E4_Hr,2024-06-26 09:34:38.750439882,81.69833
1904-01-01 00:27:23.859764923,E4_Hr,2024-06-26 09:34:39.531719923,76.79646
1904-01-01 00:27:24.531674971,E4_Hr,2024-06-26 09:34:40.203629971,89.29817
1904-01-01 00:27:25.312965025,E4_Hr,2024-06-26 09:34:40.984920025,76.79644
1904-01-01 00:27:26.125495066,E4_Hr,2024-06-26 09:34:41.797450066,73.84273
1904-01-01 00:27:26.875534882,E4_Hr,2024-06-26 09:34:42.547489882,79.99632
1904-01-01 00:27:27.703694929,E4_Hr,2024-06-26 09:34:43.375649929,72.44947
1904-01-01 00:27:28.391224970,E4_Hr,2024-06-26 09:34:44.063179970,87.26867
1904-01-01 00:27:52.298585047,E4_Hr,2024-06-26 09:35:07.970540047,98.45695
1904-01-01 00:27:57.111305107,E4_Hr,2024-06-26 09:35:12.783260107,106.6617
1904-01-01 00:27:57.595704902,E4_Hr,2024-06-26 09:35:13.267659902,123.8652
1904-01-01 00:27:58.158234943,E4_Hr,2024-06-26 09:35:13.830189943,106.6617
1904-01-01 00:27:58.673884977,E4_Hr,2024-06-26 09:35:14.345839977,116.3583
1904-01-01 00:28:03.002205004,E4_Hr,2024-06-26 09:35:18.674160004,106.6617
1904-01-01 00:28:03.627235044,E4_Hr,2024-06-26 09:35:19.299190044,95.99557
1904-01-01 00:28:04.142885078,E4_Hr,2024-06-26 09:35:19.814840078,116.3583
1904-01-01 00:28:04.674155106,E4_Hr,2024-06-26 09:35:20.346110106,112.9359
1904-01-01 00:28:05.299184908,E4_Hr,2024-06-26 09:35:20.971139908,95.99557
1904-01-01 00:28:05.861714949,E4_Hr,2024-06-26 09:35:21.533669949,106.6617
