Seconds,Stream,E4_Seconds,Value
1904-01-01 00:20:39.850634922,E4_Temperature,2024-06-26 09:27:55.522589922,35.23
1904-01-01 00:20:40.100644936,E4_Temperature,2024-06-26 09:27:55.772599936,35.23
1904-01-01 00:20:40.350654949,E4_Temperature,2024-06-26 09:27:56.022609949,35.23
1904-01-01 00:20:40.600664963,E4_Temperature,2024-06-26 09:27:56.272619963,35.23
1904-01-01 00:20:40.850674976,E4_Temperature,2024-06-26 09:27:56.522629976,35.23
1904-01-01 00:20:41.100695003,E4_Temperature,2024-06-26 09:27:56.772650003,35.23
1904-01-01 00:20:41.350705017,E4_Temperature,2024-06-26 09:27:57.022660017,35.23
1904-01-01 00:20:41.600715031,E4_Temperature,2024-06-26 09:27:57.272670031,35.23
1904-01-01 00:20:41.850725044,E4_Temperature,2024-06-26 09:27:57.522680044,35.23
1904-01-01 00:20:42.100735058,E4_Temperature,2024-06-26 09:27:57.772690058,35.23
1904-01-01 00:20:42.350745071,E4_Temperature,2024-06-26 09:27:58.022700071,35.23
1904-01-01 00:20:42.600755085,E4_Temperature,2024-06-26 09:27:58.272710085,35.23
1904-01-01 00:20:42.850775111,E4_Temperature,2024-06-26 09:27:58.522730111,35.19
1904-01-01 00:20:43.100784887,E4_Temperature,2024-06-26 09:27:58.772739887,35.19
1904-01-01 00:20:43.350794901,E4_Temperature,2024-06-26 09:27:59.022749901,35.19
1904-01-01 00:20:43.600804914,E4_Temperature,2024-06-26 09:27:59.272759914,35.19
1904-01-01 00:20:43.850814928,E4_Temperature,2024-06-26 09:27:59.522769928,35.21
1904-01-01 00:20:44.100824942,E4_Temperature,2024-06-26 09:27:59.772779942,35.21
1904-01-01 00:20:44.350844969,E4_Temperature,2024-06-26 09:28:00.022799969,35.21
1904-01-01 00:20:44.600854982,E4_Temperature,2024-06-26 09:28:00.272809982,35.21
1904-01-01 00:20:44.850864995,E4_Temperature,2024-06-26 09:28:00.522819995,35.21
1904-01-01 00:20:45.100875009,E4_Temperature,2024-06-26 09:28:00.772830009,35.21
1904-01-01 00:20:45.350885023,E4_Temperature,2024-06-26 09:28:01.022840023,35.21
1904-01-01 00:20:45.600895037,E4_Temperature,2024-06-26 09:28:01.272850037,35.21
1904-01-01 00:20:45.850915064,E4_Temperature,2024-06-26 09:28:01.522870064,35.23
1904-01-01 00:20:46.100925077,E4_Temperature,2024-06-26 09:28:01.772880077,35.23
1904-01-01 00:20:46.350935091,E4_Temperature,2024-06-26 09:28:02.022890091,35.23
1904-01-01 00:20:46.600945105,E4_Temperature,2024-06-26 09:28:02.272900105,35.23
1904-01-01 00:20:46.850955118,E4_Temperature,2024-06-26 09:28:02.522910118,35.19
1904-01-01 00:20:47.100964893,E4_Temperature,2024-06-26 09:28:02.772919893,35.19
1904-01-01 00:20:47.350974907,E4_Temperature,2024-06-26 09:28:03.022929907,35.19
