,Seconds,LslTimestamp,MarkerIdx,EegSample,EegTimestamp
5,1904-01-01 00:21:32.346976000,1289.9983867,35001,36558,73.116
11,1904-01-01 00:22:36.549984000,1354.2011367,35002,68658,137.316
12,1904-01-01 00:22:41.542976000,1359.1944424,35003,71155,142.31
18,1904-01-01 00:23:38.348000000,1415.998818,35004,99556,199.112
19,1904-01-01 00:23:43.614976000,1421.2658101,35005,102189,204.378
24,1904-01-01 00:24:25.781984000,1463.4334095,35101,123272,246.544
31,1904-01-01 00:25:28.221984000,1525.8727472,35201,154491,308.982
37,1904-01-01 00:26:22.444000000,1580.0953537,35301,181601,363.202
74,1904-01-01 00:33:34.129983999,2011.7847004,35102,397437,794.874
83,1904-01-01 00:35:08.068000000,2105.7187284,35202,444402,888.804
88,1904-01-01 00:35:49.312992000,2146.9783052,35302,465031,930.062
108,1904-01-01 00:39:38.592000000,2376.2427631,35103,579659,1159.318
115,1904-01-01 00:40:43.980992000,2441.6312712,35203,612352,1224.704
120,1904-01-01 00:41:38.224000000,2495.8746448,35303,639472,1278.944
138,1904-01-01 00:45:08.254975999,2705.9048752,35006,744483,1488.966
