Seconds,Stream,E4_Seconds,AccX,AccY,AccZ
1904-01-01 00:36:56.540992104,E4_Acc,2024-06-28 15:21:46.226200104,-12.0,-64.0,11.0
1904-01-01 00:36:56.572242104,E4_Acc,2024-06-28 15:21:46.257450104,-11.0,-63.0,12.0
1904-01-01 00:36:56.603492104,E4_Acc,2024-06-28 15:21:46.288700104,-11.0,-62.0,12.0
1904-01-01 00:36:56.634742104,E4_Acc,2024-06-28 15:21:46.319950104,-11.0,-64.0,12.0
1904-01-01 00:36:56.665992104,E4_Acc,2024-06-28 15:21:46.351200104,-11.0,-62.0,12.0
1904-01-01 00:36:56.697242104,E4_Acc,2024-06-28 15:21:46.382450104,-11.0,-62.0,13.0
1904-01-01 00:36:56.728492104,E4_Acc,2024-06-28 15:21:46.413700104,-12.0,-62.0,12.0
1904-01-01 00:36:56.759752117,E4_Acc,2024-06-28 15:21:46.444960117,-13.0,-63.0,12.0
1904-01-01 00:36:56.791002117,E4_Acc,2024-06-28 15:21:46.476210117,-13.0,-63.0,12.0
1904-01-01 00:36:56.822252117,E4_Acc,2024-06-28 15:21:46.507460117,-13.0,-64.0,12.0
1904-01-01 00:36:56.853502117,E4_Acc,2024-06-28 15:21:46.538710117,-13.0,-63.0,12.0
1904-01-01 00:36:56.884752117,E4_Acc,2024-06-28 15:21:46.569960117,-13.0,-65.0,11.0
1904-01-01 00:36:56.916002117,E4_Acc,2024-06-28 15:21:46.601210117,-12.0,-63.0,12.0
1904-01-01 00:36:56.947252117,E4_Acc,2024-06-28 15:21:46.632460117,-12.0,-62.0,12.0
1904-01-01 00:36:56.978511893,E4_Acc,2024-06-28 15:21:46.663719893,-12.0,-62.0,12.0
1904-01-01 00:36:57.009761893,E4_Acc,2024-06-28 15:21:46.694969893,-13.0,-62.0,11.0
1904-01-01 00:36:57.041011893,E4_Acc,2024-06-28 15:21:46.726219893,-12.0,-63.0,12.0
1904-01-01 00:36:57.072261893,E4_Acc,2024-06-28 15:21:46.757469893,-12.0,-63.0,11.0
1904-01-01 00:36:57.103511893,E4_Acc,2024-06-28 15:21:46.788719893,-12.0,-63.0,12.0
1904-01-01 00:36:57.134761893,E4_Acc,2024-06-28 15:21:46.819969893,-12.0,-63.0,11.0
1904-01-01 00:36:57.166011893,E4_Acc,2024-06-28 15:21:46.851219893,-12.0,-64.0,12.0
1904-01-01 00:36:57.197271906,E4_Acc,2024-06-28 15:21:46.882479906,-11.0,-63.0,12.0
1904-01-01 00:36:57.228521906,E4_Acc,2024-06-28 15:21:46.913729906,-12.0,-61.0,12.0
1904-01-01 00:36:57.259771906,E4_Acc,2024-06-28 15:21:46.944979906,-11.0,-61.0,12.0
1904-01-01 00:36:57.291021906,E4_Acc,2024-06-28 15:21:46.976229906,-12.0,-62.0,12.0
1904-01-01 00:36:57.322271906,E4_Acc,2024-06-28 15:21:47.007479906,-13.0,-62.0,12.0
1904-01-01 00:36:57.353521906,E4_Acc,2024-06-28 15:21:47.038729906,-12.0,-63.0,12.0
1904-01-01 00:36:57.384771906,E4_Acc,2024-06-28 15:21:47.069979906,-12.0,-63.0,12.0
1904-01-01 00:36:57.416031920,E4_Acc,2024-06-28 15:21:47.101239920,-13.0,-62.0,12.0
1904-01-01 00:36:57.447281920,E4_Acc,2024-06-28 15:21:47.132489920,-13.0,-65.0,12.0
1904-01-01 00:36:57.478531920,E4_Acc,2024-06-28 15:21:47.163739920,-13.0,-65.0,12.0
1904-01-01 00:36:57.509781920,E4_Acc,2024-06-28 15:21:47.194989920,-11.0,-64.0,13.0
